FID,NAME,TYPE,HEIGHT,SHAPE_Leng,SHAPE_Area,ORIG_FID,POINT_X,POINT_Y
0, , ,0,113.296906715000010,560.081980895000020,1,534021.103400000020000,3378680.524600000100000
1, , ,0,113.296906715000010,560.081980895000020,1,534026.550799999970000,3378692.065700000200000
2, , ,0,113.296906715000010,560.081980895000020,1,534066.238400000030000,3378673.333200000200000
3, , ,0,113.296906715000010,560.081980895000020,1,534060.790999999970000,3378661.792100000200000
4, , ,0,113.296906715000010,560.081980895000020,1,534021.103400000020000,3378680.524600000100000
5, , ,0,175.692389889999990,935.927801338999980,2,533750.741000000040000,3378849.102899999800000
6, , ,0,175.692389889999990,935.927801338999980,2,533751.110899999970000,3378861.503599999900000
7, , ,0,175.692389889999990,935.927801338999980,2,533826.517299999950000,3378859.254699999900000
8, , ,0,175.692389889999990,935.927801338999980,2,533826.147400000020000,3378846.853900000000000
9, , ,0,175.692389889999990,935.927801338999980,2,533750.741000000040000,3378849.102899999800000
10, , ,0,209.723965472999990,1530.954838919999900,3,534008.970300000040000,3378675.417500000000000
11, , ,0,209.723965472999990,1530.954838919999900,3,533933.726099999970000,3378701.007999999900000
12, , ,0,209.723965472999990,1530.954838919999900,3,533936.633000000030000,3378712.882499999800000
13, , ,0,209.723965472999990,1530.954838919999900,3,533971.981400000050000,3378701.346700000100000
14, , ,0,209.723965472999990,1530.954838919999900,3,533975.050599999960000,3378713.729199999900000
15, , ,0,209.723965472999990,1530.954838919999900,3,534016.008200000040000,3378698.912500000100000
16, , ,0,209.723965472999990,1530.954838919999900,3,534008.970300000040000,3378675.417500000000000
17, , ,0,356.050159885000030,5235.916358399999800,4,533777.658700000030000,3378773.465200000000000
18, , ,0,356.050159885000030,5235.916358399999800,4,533782.738699999990000,3378787.646900000100000
19, , ,0,356.050159885000030,5235.916358399999800,4,533917.570599999980000,3378784.895200000100000
20, , ,0,356.050159885000030,5235.916358399999800,4,533919.475699999950000,3378733.248500000200000
21, , ,0,356.050159885000030,5235.916358399999800,4,533914.819000000020000,3378725.416799999800000
22, , ,0,356.050159885000030,5235.916358399999800,4,533777.658700000030000,3378773.465200000000000
23, , ,0,612.642048435999980,4543.175575489999600,5,533744.513000000040000,3378828.408199999900000
24, , ,0,612.642048435999980,4543.175575489999600,5,533754.461299999970000,3378828.408199999900000
25, , ,0,612.642048435999980,4543.175575489999600,5,533754.672999999950000,3378820.576599999800000
26, , ,0,612.642048435999980,4543.175575489999600,5,533907.496599999950000,3378815.919900000100000
27, , ,0,612.642048435999980,4543.175575489999600,5,533906.014899999950000,3378843.859900000000000
28, , ,0,612.642048435999980,4543.175575489999600,5,533842.938199999980000,3378845.764899999800000
29, , ,0,612.642048435999980,4543.175575489999600,5,533842.726499999990000,3378861.428299999800000
30, , ,0,612.642048435999980,4543.175575489999600,5,533918.079999999960000,3378859.946599999900000
31, , ,0,612.642048435999980,4543.175575489999600,5,533920.196600000020000,3378799.198200000000000
32, , ,0,612.642048435999980,4543.175575489999600,5,533745.783000000050000,3378803.854900000200000
33, , ,0,612.642048435999980,4543.175575489999600,5,533744.513000000040000,3378828.408199999900000
34, , ,0,1383.707127090000100,10950.515655300000000,6,534004.647400000020000,3378752.084600000200000
35, , ,0,1383.707127090000100,10950.515655300000000,6,534014.489900000040000,3378751.767099999800000
36, , ,0,1383.707127090000100,10950.515655300000000,6,534014.807400000050000,3378719.382100000000000
37, , ,0,1383.707127090000100,10950.515655300000000,6,533942.576000000000000,3378720.810800000100000
38, , ,0,1383.707127090000100,10950.515655300000000,6,533942.099799999970000,3378739.860799999900000
39, , ,0,1383.707127090000100,10950.515655300000000,6,533958.927299999980000,3378738.749600000200000
40, , ,0,1383.707127090000100,10950.515655300000000,6,533957.339799999960000,3378777.167200000000000
41, , ,0,1383.707127090000100,10950.515655300000000,6,533939.400999999950000,3378777.325900000100000
42, , ,0,1383.707127090000100,10950.515655300000000,6,533938.765999999950000,3378799.551000000000000
43, , ,0,1383.707127090000100,10950.515655300000000,6,533952.577300000000000,3378799.074700000200000
44, , ,0,1383.707127090000100,10950.515655300000000,6,533950.989799999980000,3378836.063500000200000
45, , ,0,1383.707127090000100,10950.515655300000000,6,533938.765999999950000,3378836.222300000000000
46, , ,0,1383.707127090000100,10950.515655300000000,6,533938.289800000030000,3378857.653599999800000
47, , ,0,1383.707127090000100,10950.515655300000000,6,534218.662699999990000,3378854.141200000000000
48, , ,0,1383.707127090000100,10950.515655300000000,6,534219.174200000010000,3378826.262900000000000
49, , ,0,1383.707127090000100,10950.515655300000000,6,534210.972100000010000,3378826.395200000100000
50, , ,0,1383.707127090000100,10950.515655300000000,6,534211.501300000000000,3378799.804500000100000
51, , ,0,1383.707127090000100,10950.515655300000000,6,534220.629399999980000,3378799.936799999800000
52, , ,0,1383.707127090000100,10950.515655300000000,6,534221.026300000030000,3378773.213800000000000
53, , ,0,1383.707127090000100,10950.515655300000000,6,534149.509300000030000,3378773.663600000100000
54, , ,0,1383.707127090000100,10950.515655300000000,6,534149.297600000050000,3378791.443700000200000
55, , ,0,1383.707127090000100,10950.515655300000000,6,534200.954999999960000,3378790.993900000100000
56, , ,0,1383.707127090000100,10950.515655300000000,6,534199.618800000050000,3378836.833000000100000
57, , ,0,1383.707127090000100,10950.515655300000000,6,534093.785299999990000,3378838.023699999800000
58, , ,0,1383.707127090000100,10950.515655300000000,6,534094.182099999980000,3378827.969500000100000
59, , ,0,1383.707127090000100,10950.515655300000000,6,534071.957100000000000,3378828.366299999900000
60, , ,0,1383.707127090000100,10950.515655300000000,6,534071.824799999940000,3378838.023699999800000
61, , ,0,1383.707127090000100,10950.515655300000000,6,533962.858600000040000,3378839.920700000100000
62, , ,0,1383.707127090000100,10950.515655300000000,6,533964.155000000030000,3378798.645599999900000
63, , ,0,1383.707127090000100,10950.515655300000000,6,534012.441600000020000,3378797.851900000100000
64, , ,0,1383.707127090000100,10950.515655300000000,6,534012.970800000010000,3378778.669600000100000
65, , ,0,1383.707127090000100,10950.515655300000000,6,533969.975899999960000,3378779.727899999800000
66, , ,0,1383.707127090000100,10950.515655300000000,6,533971.378200000040000,3378735.171999999800000
67, , ,0,1383.707127090000100,10950.515655300000000,6,534005.033300000010000,3378734.457599999800000
68, , ,0,1383.707127090000100,10950.515655300000000,6,534004.647400000020000,3378752.084600000200000
69, , ,0,255.429635056000000,3407.486886109999900,7,534223.078600000010000,3378883.069900000000000
70, , ,0,255.429635056000000,3407.486886109999900,7,534164.023500000010000,3378884.128300000000000
71, , ,0,255.429635056000000,3407.486886109999900,7,534163.494300000020000,3378900.850000000100000
72, , ,0,255.429635056000000,3407.486886109999900,7,534151.640900000000000,3378900.638300000200000
73, , ,0,255.429635056000000,3407.486886109999900,7,534151.746799999960000,3378917.889200000100000
74, , ,0,255.429635056000000,3407.486886109999900,7,534163.176800000020000,3378917.571700000200000
75, , ,0,255.429635056000000,3407.486886109999900,7,534163.071000000000000,3378934.610900000200000
76, , ,0,255.429635056000000,3407.486886109999900,7,534170.267600000020000,3378934.716700000200000
77, , ,0,255.429635056000000,3407.486886109999900,7,534170.479300000010000,3378940.749200000000000
78, , ,0,255.429635056000000,3407.486886109999900,7,534203.816899999980000,3378940.749200000000000
79, , ,0,255.429635056000000,3407.486886109999900,7,534204.240200000000000,3378933.870000000100000
80, , ,0,255.429635056000000,3407.486886109999900,7,534222.020200000030000,3378933.870000000100000
81, , ,0,255.429635056000000,3407.486886109999900,7,534223.078600000010000,3378883.069900000000000
82, , ,0,201.098212649999990,1695.520456929999900,8,534165.968200000000000,3378943.538400000000000
83, , ,0,201.098212649999990,1695.520456929999900,8,534164.909800000020000,3379012.462499999900000
84, , ,0,201.098212649999990,1695.520456929999900,8,534186.870299999950000,3379012.065599999900000
85, , ,0,201.098212649999990,1695.520456929999900,8,534187.134899999950000,3378985.607200000000000
86, , ,0,201.098212649999990,1695.520456929999900,8,534197.321299999950000,3378985.474899999800000
87, , ,0,201.098212649999990,1695.520456929999900,8,534197.321299999950000,3378969.467600000100000
88, , ,0,201.098212649999990,1695.520456929999900,8,534188.722399999970000,3378969.467600000100000
89, , ,0,201.098212649999990,1695.520456929999900,8,534188.854700000030000,3378943.406099999800000
90, , ,0,201.098212649999990,1695.520456929999900,8,534165.968200000000000,3378943.538400000000000
91, , ,0,189.982528406000000,1728.164342739999900,9,533971.319299999970000,3378886.093900000200000
92, , ,0,189.982528406000000,1728.164342739999900,9,533970.895999999950000,3378900.487300000200000
93, , ,0,189.982528406000000,1728.164342739999900,9,533977.034300000060000,3378900.698900000200000
94, , ,0,189.982528406000000,1728.164342739999900,9,533977.034300000060000,3378913.399000000200000
95, , ,0,189.982528406000000,1728.164342739999900,9,533982.961000000010000,3378913.399000000200000
96, , ,0,189.982528406000000,1728.164342739999900,9,533982.326000000000000,3378944.090700000100000
97, , ,0,189.982528406000000,1728.164342739999900,9,534002.645999999950000,3378943.879000000200000
98, , ,0,189.982528406000000,1728.164342739999900,9,534003.069400000040000,3378937.317400000100000
99, , ,0,189.982528406000000,1728.164342739999900,9,534008.361099999980000,3378937.317400000100000
100, , ,0,189.982528406000000,1728.164342739999900,9,534009.419400000010000,3378890.538900000000000
101, , ,0,189.982528406000000,1728.164342739999900,9,534008.784400000000000,3378887.363900000200000
102, , ,0,189.982528406000000,1728.164342739999900,9,534004.762699999960000,3378885.458900000000000
103, , ,0,189.982528406000000,1728.164342739999900,9,533971.319299999970000,3378886.093900000200000
104, , ,0,383.244787416000010,6053.547420640000400,10,533788.047400000040000,3378894.555300000100000
105, , ,0,383.244787416000010,6053.547420640000400,10,533788.047400000040000,3378885.294900000100000
106, , ,0,383.244787416000010,6053.547420640000400,10,533768.521100000010000,3378885.612400000000000
107, , ,0,383.244787416000010,6053.547420640000400,10,533764.393599999950000,3378977.489099999900000
108, , ,0,383.244787416000010,6053.547420640000400,10,533805.192400000060000,3378976.629199999900000
109, , ,0,383.244787416000010,6053.547420640000400,10,533805.351200000030000,3378964.087900000200000
110, , ,0,383.244787416000010,6053.547420640000400,10,533812.812400000050000,3378968.374200000000000
111, , ,0,383.244787416000010,6053.547420640000400,10,533822.654899999960000,3378969.326700000100000
112, , ,0,383.244787416000010,6053.547420640000400,10,533829.322500000010000,3378967.898000000000000
113, , ,0,383.244787416000010,6053.547420640000400,10,533838.371200000050000,3378964.405400000000000
114, , ,0,383.244787416000010,6053.547420640000400,10,533843.451200000010000,3378964.405400000000000
115, , ,0,383.244787416000010,6053.547420640000400,10,533847.261199999950000,3378962.341700000200000
