FID,LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
0,-1,1,0,534021.103400000020000,3378680.524600000100000
1,-1,1,0,534026.550799999970000,3378692.065700000200000
2,-1,1,0,534066.238400000030000,3378673.333200000200000
3,-1,1,0,534060.790999999970000,3378661.792100000200000
4,-1,1,0,534021.103400000020000,3378680.524600000100000
5,-1,3,1,534008.970300000040000,3378675.417500000000000
6,-1,3,1,533933.726099999970000,3378701.007999999900000
7,-1,3,1,533936.633000000030000,3378712.882499999800000
8,-1,3,1,533971.981400000050000,3378701.346700000100000
9,-1,3,1,533975.050599999960000,3378713.729199999900000
10,-1,3,1,534016.008200000040000,3378698.912500000100000
11,-1,3,1,534008.970300000040000,3378675.417500000000000
12,-1,87,2,534173.807700000000000,3378726.161400000100000
13,-1,87,2,534173.966400000030000,3378700.443800000000000
14,-1,88,3,534193.413300000010000,3378725.129499999800000
15,-1,88,3,534173.807700000000000,3378726.161400000100000
16,-1,87,4,534173.966400000030000,3378700.443800000000000
17,-1,87,4,534207.542099999960000,3378700.126300000100000
18,-1,87,4,534207.939000000010000,3378684.330699999800000
19,-1,87,4,534165.473299999950000,3378685.203799999800000
20,-1,87,4,534159.837599999970000,3378687.743799999800000
21,-1,87,4,534156.424499999960000,3378690.839399999900000
22,-1,87,4,534156.186400000010000,3378733.066999999800000
23,-1,87,4,534158.250099999950000,3378737.432599999900000
24,-1,87,4,534162.298300000020000,3378740.052000000100000
25,-1,87,4,534166.346400000040000,3378740.210800000000000
26,88,87,5,534166.346400000040000,3378740.210800000000000
27,88,87,5,534164.758900000020000,3378736.876999999900000
28,88,87,5,534165.949499999990000,3378730.130100000200000
29,88,87,5,534169.838899999970000,3378726.478900000000000
30,88,87,5,534173.807700000000000,3378726.161400000100000
31,-1,88,6,534166.346400000040000,3378740.210800000000000
32,-1,88,6,534171.029499999950000,3378743.306400000100000
33,-1,88,6,534195.715199999980000,3378741.718900000200000
34,-1,88,6,534199.922099999970000,3378737.670800000000000
35,-1,88,6,534200.080800000000000,3378732.352599999900000
36,-1,88,6,534199.287099999960000,3378729.018900000000000
37,-1,88,6,534197.302700000000000,3378726.081999999900000
38,-1,88,6,534193.413300000010000,3378725.129499999800000
39,99,6,7,533969.975899999960000,3378779.727899999800000
40,99,6,7,533957.339799999960000,3378777.167200000000000
41,-1,99,8,533969.975899999960000,3378779.727899999800000
42,-1,99,8,533971.378200000040000,3378735.171999999800000
43,-1,99,8,534005.033300000010000,3378734.457599999800000
44,-1,99,8,534004.647400000020000,3378752.084600000200000
45,-1,99,8,534014.489900000040000,3378751.767099999800000
46,-1,99,8,534014.807400000050000,3378719.382100000000000
47,-1,99,8,533942.576000000000000,3378720.810800000100000
48,-1,99,8,533942.099799999970000,3378739.860799999900000
49,-1,99,8,533958.927299999980000,3378738.749600000200000
50,-1,99,8,533957.339799999960000,3378777.167200000000000
51,-1,4,9,533777.658700000030000,3378773.465200000000000
52,-1,4,9,533782.738699999990000,3378787.646900000100000
53,-1,4,9,533917.570599999980000,3378784.895200000100000
54,-1,4,9,533919.475699999950000,3378733.248500000200000
55,-1,4,9,533914.819000000020000,3378725.416799999800000
56,-1,4,9,533777.658700000030000,3378773.465200000000000
57,-1,95,10,534210.972100000010000,3378826.395200000100000
58,-1,95,10,534211.501300000000000,3378799.804500000100000
59,-1,95,10,534220.629399999980000,3378799.936799999800000
60,-1,95,10,534221.026300000030000,3378773.213800000000000
61,-1,95,10,534149.509300000030000,3378773.663600000100000
62,-1,95,10,534149.297600000050000,3378791.443700000200000
63,-1,95,10,534200.954999999960000,3378790.993900000100000
64,-1,95,10,534199.918399999970000,3378826.554500000100000
65,96,95,11,534199.918399999970000,3378826.554500000100000
66,96,95,11,534210.972100000010000,3378826.395200000100000
67,-1,6,12,533957.339799999960000,3378777.167200000000000
68,-1,6,12,533939.400999999950000,3378777.325900000100000
69,-1,6,12,533938.765999999950000,3378799.551000000000000
