OBJECTID,name,POINT_X,POINT_Y
1,自强超市1,533908.925800000320000,3378828.338199999200000
2,自强超市2,533940.648799999620000,3378989.416899999600000
3,小卖部,533821.393699999900000,3378848.466399999300000
4,富强水果店,533742.389000000430000,3379000.729199999900000
5,青华副食店,533740.737999999900000,3379022.898600000900000
6,游泳池商店,533741.055499999780000,3379030.518699999900000
7,综合超市,533741.235399999660000,3379037.027400000000000
8,珞珈山超市,533829.111499999650000,3379124.268300000600000
9,自强超市3,533985.977099999790000,3379296.606699999400000
10,杂货铺,533941.154900000430000,3379243.929300000900000
