FID,R_name,R_num,R_type,SHAPE_Leng,Shape_Le_1,ORIG_FID,POINT_X,POINT_Y
0,求是二路,2,主干道,87.512468208900003,87.512468208900003,1,534014.576899999990000,3379122.699599999900000
1,求是二路,2,主干道,87.512468208900003,87.512468208900003,1,534014.388099999980000,3379130.818800000000000
2,求是二路,2,主干道,87.512468208900003,87.512468208900003,1,534012.800599999960000,3379210.194000000100000
3,求是一路,1,主干道,210.231945680000000,210.231945680000000,2,534142.579000000030000,3378871.103300000100000
4,求是一路,1,主干道,210.231945680000000,210.231945680000000,2,534140.885699999980000,3378986.885199999900000
5,求是一路,1,主干道,210.231945680000000,210.231945680000000,2,534138.345699999950000,3379081.288699999900000
6,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,534028.411100000030000,3378713.834700000000000
7,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533947.336000000010000,3378715.382900000100000
8,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533941.382800000020000,3378718.161100000100000
9,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533936.355699999960000,3378721.997500000100000
10,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533932.916100000030000,3378726.495500000200000
11,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533931.857800000000000,3378734.829799999900000
12,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533931.064000000010000,3378750.175700000000000
13,新疆路,3,主干道,139.308015737000010,139.308015737000010,3,533930.606099999980000,3378766.063900000000000
14,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534136.618400000040000,3378705.792700000100000
15,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534146.990899999980000,3378687.323799999900000
16,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534149.372199999980000,3378684.466300000000000
17,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534149.584099999980000,3378684.031700000200000
18,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534149.858000000010000,3378683.633200000000000
19,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534150.187999999970000,3378683.279800000100000
20,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534150.566699999970000,3378682.979100000100000
21,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534150.985699999960000,3378682.737799999800000
22,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534151.435900000040000,3378682.561300000200000
23,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534157.944699999990000,3378679.227500000000000
24,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534175.248499999990000,3378677.163800000200000
25,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534199.219799999960000,3378676.846299999900000
26,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534211.919800000030000,3378677.163800000200000
27,回归路,4,主干道,171.018399835999990,171.015722490000000,4,534209.379800000000000,3378758.920200000100000
28,回归路,4,主干道,66.629035475600006,66.629035475600006,5,534209.379800000000000,3378758.920200000100000
29,回归路,4,主干道,66.629035475600006,66.629035475600006,5,534142.759199999970000,3378759.980399999800000
30,北京路,5,主干道,58.229201599900001,58.229201599900001,6,534026.636100000000000,3378785.847500000100000
31,北京路,5,主干道,58.229201599900001,58.229201599900001,6,534084.855699999960000,3378784.790099999900000
32,陕西路,6,主干道,90.522320629600003,90.522320629600003,7,534141.453400000000000,3378823.311000000200000
33,陕西路,6,主干道,90.522320629600003,90.522320629600003,7,534150.452599999960000,3378823.095000000200000
34,陕西路,6,主干道,90.522320629600003,90.522320629600003,7,534231.972700000040000,3378822.830600000000000
35,星湖南路,7,主干道,121.883403191000000,121.883403191000000,8,534142.583199999990000,3378871.459300000200000
36,星湖南路,7,主干道,121.883403191000000,121.883403191000000,8,534106.337599999970000,3378871.888700000000000
37,星湖南路,7,主干道,121.883403191000000,121.883403191000000,8,534020.724200000060000,3378873.823499999900000
38,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533757.573500000060000,3378979.930699999900000
39,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533758.184899999990000,3379013.070600000200000
40,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533756.465199999980000,3379077.629100000000000
41,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533755.539100000050000,3379094.827099999900000
42,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533752.231799999950000,3379106.468799999900000
43,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533750.379700000050000,3379121.285399999900000
44,星湖三路,8,主干道,196.199861360000000,196.199861360000000,9,533750.030700000000000,3379175.500000000000000
45,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533744.162000000010000,3378776.400400000200000
46,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533753.501799999970000,3378783.544100000100000
47,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533760.910200000040000,3378791.217100000000000
48,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533769.905999999960000,3378794.392099999800000
49,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533874.152099999950000,3378790.687899999800000
50,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533921.248000000020000,3378788.306700000100000
51,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533924.422999999950000,3378725.864899999900000
52,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533913.575100000020000,3378699.141900000200000
53,星湖三路,8,主干道,290.652783689999980,290.652783689999980,10,533899.287499999980000,3378692.262699999800000
54,星湖二路,9,主干道,202.319467602999990,202.319467602999990,11,533827.003200000040000,3378978.639500000000000
55,星湖二路,9,主干道,202.319467602999990,202.319467602999990,11,533822.042299999970000,3379079.512099999900000
56,星湖二路,9,主干道,202.319467602999990,202.319467602999990,11,533817.412000000010000,3379165.501800000200000
57,星湖二路,9,主干道,202.319467602999990,202.319467602999990,11,533813.972500000030000,3379180.318500000100000
58,星湖一路,10,主干道,105.441684744000000,105.441684744000000,12,533926.218699999970000,3379106.721899999800000
59,星湖一路,10,主干道,105.441684744000000,105.441684744000000,12,533924.568500000050000,3379124.755900000200000
60,星湖一路,10,主干道,105.441684744000000,105.441684744000000,12,533922.716400000030000,3379212.068599999900000
61,星湖路,11,主干道,260.193440092000000,260.193440092000000,13,533757.573500000060000,3378979.930699999900000
62,星湖路,11,主干道,260.193440092000000,260.193440092000000,13,533827.003200000040000,3378978.639500000000000
63,星湖路,11,主干道,260.193440092000000,260.193440092000000,13,533933.035200000040000,3378977.647299999800000
64,星湖路,11,主干道,260.193440092000000,260.193440092000000,13,534017.745699999970000,3378976.765199999800000
65,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533727.396599999980000,3379453.822199999800000
66,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533725.323600000000000,3379461.346299999900000
67,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533719.820300000020000,3379472.247099999800000
68,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533713.258599999940000,3379485.370500000200000
69,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533704.791899999950000,3379497.012200000200000
70,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533692.621099999990000,3379514.368900000100000
71,求是大道,11,主干道,84.824418675000004,84.824418675000004,14,533684.048599999980000,3379526.116400000200000
72,湖北路,12,主干道,40.902955913400000,40.902955913400000,15,533790.887499999950000,3379182.765900000000000
73,湖北路,12,主干道,40.902955913400000,40.902955913400000,15,533749.986299999990000,3379182.386899999800000
74,友谊大道,13,主干道,103.523021506000010,103.523021506000010,16,534086.884100000020000,3378681.290899999900000
75,友谊大道,13,主干道,103.523021506000010,103.523021506000010,16,534086.298500000030000,3378734.232299999800000
76,友谊大道,13,主干道,103.523021506000010,103.523021506000010,16,534084.855699999960000,3378784.790099999900000
77,遥感小路,1,小路,96.517201889500001,96.517201889500001,17,533930.606099999980000,3378766.063900000000000
78,遥感小路,1,小路,96.517201889500001,96.517201889500001,17,534027.123299999980000,3378766.083000000100000
79,印包小路,2,小路,44.543656109600001,44.543656109600001,18,533829.978400000020000,3378877.854799999900000
80,印包小路,2,小路,44.543656109600001,44.543656109600001,18,533832.988999999940000,3378833.413000000200000
81,二食堂小路,3,小路,101.595647224000000,101.595647224000000,19,533850.224700000020000,3378978.422199999900000
82,二食堂小路,3,小路,101.595647224000000,101.595647224000000,19,533854.673399999970000,3378876.924000000100000
83,竹林小路,4,小路,116.955373535000010,116.955373535000010,20,533926.698399999990000,3378874.397799999900000
84,竹林小路,4,小路,116.955373535000010,116.955373535000010,20,533912.662000000010000,3378888.255400000100000
85,竹林小路,4,小路,116.955373535000010,116.955373535000010,20,533901.284899999970000,3378907.305499999800000
86,竹林小路,4,小路,116.955373535000010,116.955373535000010,20,533890.701600000030000,3378935.615900000100000
87,竹林小路,4,小路,116.955373535000010,116.955373535000010,20,533880.647400000020000,3378957.841000000000000
88,竹林小路,4,小路,116.955373535000010,116.955373535000010,20,533878.545000000040000,3378978.157199999800000
89,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533903.913599999970000,3378902.903899999800000
90,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533947.587100000000000,3378902.807500000100000
91,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533969.547499999990000,3378903.601300000200000
92,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533971.928799999990000,3378936.938800000100000
93,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533974.574600000050000,3378944.347200000200000
94,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533981.189200000020000,3378953.342999999900000
95,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533990.978800000040000,3378965.249299999800000
96,竹林二路,4,小路,145.318841932999990,145.318841932999990,21,533991.517800000030000,3378977.038300000100000
97,国重小路,5,小路,86.506041926199998,86.506041926199998,22,533929.259300000030000,3379071.448799999900000
