FID,NAME,TYPE,SHAPE_Leng,SHAPE_Area,ORIG_FID,POINT_X,POINT_Y
0,xin_cao,1,494.641404722000000,15101.435078300001000,1,534030.695500000030000,3379047.151000000100000
1,xin_cao,1,494.641404722000000,15101.435078300001000,1,534040.627300000050000,3379047.199399999800000
2,xin_cao,1,494.641404722000000,15101.435078300001000,1,534042.468800000030000,3379049.824099999900000
3,xin_cao,1,494.641404722000000,15101.435078300001000,1,534043.230800000020000,3379051.369200000100000
4,xin_cao,1,494.641404722000000,15101.435078300001000,1,534046.088299999940000,3379054.099700000100000
5,xin_cao,1,494.641404722000000,15101.435078300001000,1,534048.120299999950000,3379056.025899999800000
6,xin_cao,1,494.641404722000000,15101.435078300001000,1,534050.258200000040000,3379057.338200000100000
7,xin_cao,1,494.641404722000000,15101.435078300001000,1,534053.412000000010000,3379059.349100000200000
8,xin_cao,1,494.641404722000000,15101.435078300001000,1,534057.497199999980000,3379061.698599999800000
9,xin_cao,1,494.641404722000000,15101.435078300001000,1,534059.804400000020000,3379062.502900000200000
10,xin_cao,1,494.641404722000000,15101.435078300001000,1,534062.767699999970000,3379063.455399999900000
11,xin_cao,1,494.641404722000000,15101.435078300001000,1,534066.069699999990000,3379064.259699999800000
12,xin_cao,1,494.641404722000000,15101.435078300001000,1,534069.943199999980000,3379065.381600000000000
13,xin_cao,1,494.641404722000000,15101.435078300001000,1,534073.414600000020000,3379065.635600000200000
14,xin_cao,1,494.641404722000000,15101.435078300001000,1,534075.256100000000000,3379065.677900000000000
15,xin_cao,1,494.641404722000000,15101.435078300001000,1,534079.023700000020000,3379065.910800000200000
16,xin_cao,1,494.641404722000000,15101.435078300001000,1,534084.040200000050000,3379065.169900000100000
17,xin_cao,1,494.641404722000000,15101.435078300001000,1,534089.099099999990000,3379064.365600000100000
18,xin_cao,1,494.641404722000000,15101.435078300001000,1,534093.544100000060000,3379063.413100000000000
19,xin_cao,1,494.641404722000000,15101.435078300001000,1,534097.608099999950000,3379061.592699999900000
20,xin_cao,1,494.641404722000000,15101.435078300001000,1,534102.180100000000000,3379059.031599999900000
21,xin_cao,1,494.641404722000000,15101.435078300001000,1,534105.101099999970000,3379056.999600000200000
22,xin_cao,1,494.641404722000000,15101.435078300001000,1,534108.360800000020000,3379054.332599999800000
23,xin_cao,1,494.641404722000000,15101.435078300001000,1,534110.202300000000000,3379052.639200000100000
24,xin_cao,1,494.641404722000000,15101.435078300001000,1,534112.557599999940000,3379049.980700000200000
25,xin_cao,1,494.641404722000000,15101.435078300001000,1,534124.225800000010000,3379050.218799999900000
26,xin_cao,1,494.641404722000000,15101.435078300001000,1,534127.152699999980000,3378905.246700000000000
27,xin_cao,1,494.641404722000000,15101.435078300001000,1,534116.370899999980000,3378905.445100000100000
28,xin_cao,1,494.641404722000000,15101.435078300001000,1,534114.783399999960000,3378903.857600000200000
29,xin_cao,1,494.641404722000000,15101.435078300001000,1,534113.195900000050000,3378901.608700000200000
30,xin_cao,1,494.641404722000000,15101.435078300001000,1,534109.690199999950000,3378898.367500000200000
31,xin_cao,1,494.641404722000000,15101.435078300001000,1,534106.052200000030000,3378895.390999999800000
32,xin_cao,1,494.641404722000000,15101.435078300001000,1,534102.083400000000000,3378893.009699999800000
33,xin_cao,1,494.641404722000000,15101.435078300001000,1,534098.776100000020000,3378891.422199999900000
34,xin_cao,1,494.641404722000000,15101.435078300001000,1,534094.675099999990000,3378889.900799999900000
35,xin_cao,1,494.641404722000000,15101.435078300001000,1,534090.044800000030000,3378888.644100000200000
36,xin_cao,1,494.641404722000000,15101.435078300001000,1,534085.943800000010000,3378888.313300000000000
37,xin_cao,1,494.641404722000000,15101.435078300001000,1,534082.239599999970000,3378888.048700000200000
38,xin_cao,1,494.641404722000000,15101.435078300001000,1,534079.263000000040000,3378887.916499999800000
39,xin_cao,1,494.641404722000000,15101.435078300001000,1,534070.134899999950000,3378888.974800000000000
40,xin_cao,1,494.641404722000000,15101.435078300001000,1,534065.240100000050000,3378890.363900000200000
41,xin_cao,1,494.641404722000000,15101.435078300001000,1,534060.477599999980000,3378892.679000000000000
42,xin_cao,1,494.641404722000000,15101.435078300001000,1,534057.633299999990000,3378894.068000000000000
43,xin_cao,1,494.641404722000000,15101.435078300001000,1,534053.400000000020000,3378896.515399999900000
44,xin_cao,1,494.641404722000000,15101.435078300001000,1,534050.687999999970000,3378898.962799999900000
45,xin_cao,1,494.641404722000000,15101.435078300001000,1,534047.777600000030000,3378901.542500000000000
46,xin_cao,1,494.641404722000000,15101.435078300001000,1,534043.279600000010000,3378906.635799999800000
47,xin_cao,1,494.641404722000000,15101.435078300001000,1,534034.217599999970000,3378906.701900000200000
48,xin_cao,1,494.641404722000000,15101.435078300001000,1,534030.695500000030000,3379047.151000000100000
49,SwinmmingPool,2,155.021390133000010,1364.804227580000100,2,533703.866400000060000,3379164.529300000100000
50,SwinmmingPool,2,155.021390133000010,1364.804227580000100,2,533730.886000000060000,3379165.660500000200000
51,SwinmmingPool,2,155.021390133000010,1364.804227580000100,2,533732.997100000040000,3379115.237300000200000
52,SwinmmingPool,2,155.021390133000010,1364.804227580000100,2,533705.977500000040000,3379114.106000000100000
53,SwinmmingPool,2,155.021390133000010,1364.804227580000100,2,533703.866400000060000,3379164.529300000100000
