province,city,update_time,nowConfirm,confirm,suspect,dead,deadRate,showRate,heal,healRate,showHeal
香港,香港,2020-06-02 18:12:07,51,1093,0,4,0.0037,False,1038,0.9497,True
内蒙古,境外输入,2020-06-02 18:12:07,25,158,0,0,0.0,False,133,0.8418000000000001,True
内蒙古,呼伦贝尔,2020-06-02 18:12:07,0,9,0,0,0.0,False,9,1.0,True
内蒙古,包头,2020-06-02 18:12:07,0,11,0,0,0.0,False,11,1.0,True
内蒙古,呼和浩特,2020-06-02 18:12:07,0,7,0,0,0.0,False,7,1.0,True
内蒙古,乌兰察布,2020-06-02 18:12:07,0,3,0,0,0.0,False,3,1.0,True
内蒙古,赤峰,2020-06-02 18:12:07,0,9,0,0,0.0,False,9,1.0,True
内蒙古,锡林郭勒,2020-06-02 18:12:07,0,9,0,0,0.0,False,9,1.0,True
内蒙古,通辽,2020-06-02 18:12:07,0,7,0,0,0.0,False,7,1.0,True
内蒙古,鄂尔多斯,2020-06-02 18:12:07,0,11,0,0,0.0,False,11,1.0,True
内蒙古,巴彦淖尔,2020-06-02 18:12:07,0,8,0,1,0.125,False,7,0.875,True
内蒙古,兴安盟,2020-06-02 18:12:07,0,1,0,0,0.0,False,1,1.0,True
内蒙古,乌海,2020-06-02 18:12:07,0,2,0,0,0.0,False,2,1.0,True
四川,境外输入,2020-06-02 18:12:07,16,37,0,0,0.0,False,21,0.5676,True
四川,内江,2020-06-02 18:12:07,0,22,0,0,0.0,False,22,1.0,True
四川,遂宁,2020-06-02 18:12:07,0,17,0,0,0.0,False,17,1.0,True
四川,乐山,2020-06-02 18:12:07,0,3,0,0,0.0,False,3,1.0,True
四川,宜宾,2020-06-02 18:12:07,0,12,0,0,0.0,False,12,1.0,True
四川,自贡,2020-06-02 18:12:07,0,9,0,0,0.0,False,9,1.0,True
四川,攀枝花,2020-06-02 18:12:07,0,16,0,0,0.0,False,16,1.0,True
四川,泸州,2020-06-02 18:12:07,0,24,0,0,0.0,False,24,1.0,True
四川,德阳,2020-06-02 18:12:07,0,18,0,0,0.0,False,18,1.0,True
四川,绵阳,2020-06-02 18:12:07,0,22,0,0,0.0,False,22,1.0,True
四川,凉山,2020-06-02 18:12:07,0,13,0,0,0.0,False,13,1.0,True
四川,成都,2020-06-02 18:12:07,0,145,0,3,0.0207,False,142,0.9793000000000001,True
四川,阿坝,2020-06-02 18:12:07,0,1,0,0,0.0,False,1,1.0,True
四川,资阳,2020-06-02 18:12:07,0,4,0,0,0.0,False,4,1.0,True
四川,眉山,2020-06-02 18:12:07,0,8,0,0,0.0,False,8,1.0,True
四川,雅安,2020-06-02 18:12:07,0,7,0,0,0.0,False,7,1.0,True
四川,巴中,2020-06-02 18:12:07,0,24,0,0,0.0,False,24,1.0,True
四川,达州,2020-06-02 18:12:07,0,42,0,0,0.0,False,42,1.0,True
四川,广安,2020-06-02 18:12:07,0,30,0,0,0.0,False,30,1.0,True
四川,广元,2020-06-02 18:12:07,0,6,0,0,0.0,False,6,1.0,True
四川,南充,2020-06-02 18:12:07,0,39,0,0,0.0,False,39,1.0,True
四川,甘孜,2020-06-02 18:12:07,0,78,0,0,0.0,False,78,1.0,True
台湾,台湾,2020-06-02 18:12:07,9,443,0,7,0.0158,False,427,0.9639,True
吉林,吉林,2020-06-02 18:12:07,6,48,0,1,0.0208,False,41,0.8542000000000001,True
吉林,境外输入,2020-06-02 18:12:07,0,19,0,0,0.0,False,19,1.0,True
吉林,通化,2020-06-02 18:12:07,0,6,0,0,0.0,False,6,1.0,True
吉林,长春,2020-06-02 18:12:07,0,45,0,0,0.0,False,45,1.0,True
吉林,白城,2020-06-02 18:12:07,0,1,0,0,0.0,False,1,1.0,True
吉林,四平,2020-06-02 18:12:07,0,15,0,1,0.0667,False,14,0.9333,True
吉林,公主岭,2020-06-02 18:12:07,0,6,0,0,0.0,False,6,1.0,True
吉林,辽源,2020-06-02 18:12:07,0,7,0,0,0.0,False,7,1.0,True
吉林,延边,2020-06-02 18:12:07,0,5,0,0,0.0,False,5,1.0,True
吉林,松原,2020-06-02 18:12:07,0,2,0,0,0.0,False,2,1.0,True
吉林,梅河口市,2020-06-02 18:12:07,0,1,0,0,0.0,False,1,1.0,True
广东,境外输入,2020-06-02 18:12:07,5,201,0,0,0.0,False,196,0.9751000000000001,True
广东,深圳,2020-06-02 18:12:07,0,423,0,3,0.0070999999999999995,False,420,0.9929000000000001,True
广东,中山,2020-06-02 18:12:07,0,67,0,0,0.0,False,67,1.0,True
广东,河源,2020-06-02 18:12:07,0,5,0,0,0.0,False,5,1.0,True
广东,湛江,2020-06-02 18:12:07,0,22,0,0,0.0,False,22,1.0,True
广东,珠海,2020-06-02 18:12:07,0,98,0,1,0.0102,False,97,0.9898,True
广东,汕头,2020-06-02 18:12:07,0,25,0,0,0.0,False,25,1.0,True
广东,揭阳,2020-06-02 18:12:07,0,10,0,0,0.0,False,10,1.0,True
广东,江门,2020-06-02 18:12:07,0,23,0,0,0.0,False,23,1.0,True
广东,梅州,2020-06-02 18:12:07,0,16,0,0,0.0,False,16,1.0,True
广东,佛山,2020-06-02 18:12:07,0,89,0,0,0.0,False,89,1.0,True
广东,广州,2020-06-02 18:12:07,0,377,0,1,0.0027,False,376,0.9973000000000001,True
广东,肇庆,2020-06-02 18:12:07,0,19,0,1,0.0526,False,18,0.9473999999999999,True
广东,东莞,2020-06-02 18:12:07,0,99,0,1,0.0101,False,98,0.9899,True
广东,阳江,2020-06-02 18:12:07,0,14,0,0,0.0,False,14,1.0,True
广东,惠州,2020-06-02 18:12:07,0,62,0,0,0.0,False,62,1.0,True
广东,茂名,2020-06-02 18:12:07,0,14,0,0,0.0,False,14,1.0,True
广东,韶关,2020-06-02 18:12:07,0,10,0,1,0.1,False,9,0.9,True
广东,清远,2020-06-02 18:12:07,0,12,0,0,0.0,False,12,1.0,True
广东,汕尾,2020-06-02 18:12:07,0,5,0,0,0.0,False,5,1.0,True
广东,潮州,2020-06-02 18:12:07,0,5,0,0,0.0,False,5,1.0,True
广东,广东,2020-06-02 18:12:07,0,0,0,0,0.0,False,0,0.0,True
山东,境外输入,2020-06-02 18:12:07,5,29,0,0,0.0,False,24,0.8276,True
山东,威海,2020-06-02 18:12:07,0,38,0,1,0.0263,False,37,0.9737,True
山东,济宁,2020-06-02 18:12:07,0,260,0,0,0.0,False,260,1.0,True
山东,济南,2020-06-02 18:12:07,0,47,0,0,0.0,False,47,1.0,True
山东,潍坊,2020-06-02 18:12:07,0,44,0,0,0.0,False,44,1.0,True
山东,枣庄,2020-06-02 18:12:07,0,24,0,0,0.0,False,24,1.0,True
山东,淄博,2020-06-02 18:12:07,0,30,0,1,0.0333,False,29,0.9667,True
山东,泰安,2020-06-02 18:12:07,0,35,0,2,0.0571,False,33,0.9429000000000001,True
山东,青岛,2020-06-02 18:12:07,0,65,0,1,0.0154,False,64,0.9845999999999999,True
山东,日照,2020-06-02 18:12:07,0,16,0,0,0.0,False,16,1.0,True
山东,临沂,2020-06-02 18:12:07,0,49,0,0,0.0,False,49,1.0,True
山东,德州,2020-06-02 18:12:07,0,37,0,2,0.0541,False,35,0.9459000000000001,True
山东,聊城,2020-06-02 18:12:07,0,38,0,0,0.0,False,38,1.0,True
山东,滨州,2020-06-02 18:12:07,0,15,0,0,0.0,False,15,1.0,True
山东,菏泽,2020-06-02 18:12:07,0,18,0,0,0.0,False,18,1.0,True
山东,烟台,2020-06-02 18:12:07,0,47,0,0,0.0,False,47,1.0,True
上海,境外输入,2020-06-02 18:12:07,5,332,0,0,0.0,False,327,0.9849,True
上海,青浦,2020-06-02 18:12:07,0,6,0,0,0.0,False,6,1.0,True
上海,上海,2020-06-02 18:12:07,0,0,0,0,0.0,False,0,0.0,True
上海,宝山,2020-06-02 18:12:07,0,22,0,1,0.0455,False,21,0.9545,True
上海,嘉定,2020-06-02 18:12:07,0,9,0,2,0.22219999999999998,False,7,0.7778,True
上海,徐汇,2020-06-02 18:12:07,0,18,0,1,0.0556,False,17,0.9444,True
上海,静安,2020-06-02 18:12:07,0,16,0,1,0.0625,False,15,0.9375,True
上海,黄浦,2020-06-02 18:12:07,0,6,0,1,0.16670000000000001,False,5,0.8332999999999999,True
上海,浦东,2020-06-02 18:12:07,0,61,0,0,0.0,False,61,1.0,True
上海,外地来沪,2020-06-02 18:12:07,0,113,0,1,0.0088,False,112,0.9912000000000001,True
上海,崇明,2020-06-02 18:12:07,0,4,0,0,0.0,False,4,1.0,True
上海,金山,2020-06-02 18:12:07,0,4,0,0,0.0,False,4,1.0,True
上海,虹口,2020-06-02 18:12:07,0,7,0,0,0.0,False,7,1.0,True
上海,奉贤,2020-06-02 18:12:07,0,9,0,0,0.0,False,9,1.0,True
上海,杨浦,2020-06-02 18:12:07,0,9,0,0,0.0,False,9,1.0,True
上海,普陀,2020-06-02 18:12:07,0,11,0,0,0.0,False,11,1.0,True
