省份,时间,确诊,治愈,死亡,新增确诊
上海,1.26,40,1,1,13
上海,1.27,53,1,1,13
上海,1.28,80,4,1,14
上海,1.29,101,5,1,21
上海,1.30,128,9,1,11
上海,1.31,135,9,1,25
上海,2.1,177,10,1,24
上海,2.2,193,10,1,16
上海,2.3,208,10,1,15
上海,2.4,233,12,1,25
上海,2.5,254,25,1,11
上海,2.6,269,25,1,15
上海,2.7,281,30,1,12
上海,2.8,292,41,1,6
上海,2.9,295,44,1,3
上海,2.10,302,48,1,7
上海,2.11,306,53,1,4
上海,2.12,313,57,1,7
上海,2.13,318,62,1,5
上海,2.14,326,90,1,8
上海,2.15,328,124,1,2
上海,2.16,331,140,1,3
上海,2.17,333,161,1,2
上海,2.18,333,177,1,0
上海,2.19,333,186,2,0
上海,2.20,334,199,2,1
上海,2.21,334,211,3,0
上海,2.22,335,227,3,1
上海,2.23,335,249,3,0
上海,2.24,335,261,3,0
上海,2.25,336,268,3,1
上海,2.26,337,272,3,1
上海,2.27,337,276,3,0
上海,2.28,337,279,3,0
上海,2.29,337,287,3,0
上海,3.1,337,290,3,0
上海,3.2,338,292,3,1
上海,3.3,338,294,3,0
上海,3.4,338,298,3,0
上海,3.5,339,303,3,1
上海,3.6,342,306,3,3
上海,3.7,342,313,3,0
上海,3.8,342,314,3,0
上海,3.9,342,315,3,0
上海,3.10,344,319,3,2
上海,3.11,344,320,3,0
上海,3.12,346,321,3,2
上海,3.13,350,324,3,4
上海,3.14,353,324,3,3
上海,3.15,355,324,3,2
上海,3.16,358,325,3,3
上海,3.17,361,325,3,3
上海,3.18,363,326,3,2
上海,3.19,371,326,3,8
上海,3.20,380,326,3,9
上海,3.21,394,327,4,14
上海,3.22,404,328,4,10
上海,3.23,414,329,4,10
上海,3.24,433,330,5,19
上海,3.25,451,330,5,18
上海,3.26,468,331,5,17
上海,3.27,485,334,5,17
上海,3.28,492,334,5,7
上海,3.29,498,334,5,6
上海,3.30,509,338,5,11
上海,3.31,516,341,6,7
上海,4.1,522,343,6,6
上海,4.2,526,343,6,4
上海,4.3,529,348,6,3
上海,4.4,531,356,6,2
上海,4.5,536,383,6,5
上海,4.6,538,389,6,2
上海,4.7,543,406,7,5
上海,4.8,552,417,7,9
上海,4.9,555,422,7,3
上海,4.10,555,435,7,0
上海,4.11,607,438,7,52
上海,4.12,618,446,7,11
上海,4.13,618,458,7,0
上海,4.14,622,468,7,4
上海,4.15,628,485,7,6
上海,4.16,628,489,7,0
上海,4.17,628,512,7,0
上海,4.18,635,516,7,7
上海,4.19,638,521,7,3
上海,4.20,638,530,7,0
上海,4.21,639,530,7,1
上海,4.22,640,532,7,1
上海,4.23,641,533,7,1
上海,4.24,641,547,7,0
上海,4.25,642,558,7,1
上海,4.26,642,568,7,0
上海,4.27,644,581,7,2
上海,4.28,645,584,7,1
上海,4.29,647,597,7,2
上海,4.30,652,599,7,5
上海,5.1,652,612,7,0
上海,5.2,653,613,7,1
上海,5.3,655,615,7,2
上海,5.4,656,619,7,1
上海,5.5,656,620,7,0
上海,5.6,657,620,7,1
上海,5.7,657,623,7,0
上海,5.8,657,623,7,0
上海,5.9,659,626,7,2
上海,5.10,659,627,7,0
上海,5.11,659,627,7,0
上海,5.12,660,631,7,1
上海,5.13,660,633,7,0
上海,5.14,660,638,7,0
上海,5.16,665,641,7,0
上海,5.17,666,641,7,1
上海,5.18,666,641,7,0
上海,5.19,666,642,7,0
上海,5.20,667,645,7,1
上海,5.21,667,646,7,0
上海,5.22,667,647,7,0
上海,5.23,668,647,7,1
上海,5.24,668,648,7,0
上海,5.25,669,652,7,1
上海,5.26,670,653,7,1
上海,5.27,671,655,7,1
上海,5.28,671,655,7,0
上海,5.29,672,657,7,1
上海,5.30,672,657,7,0
上海,5.31,672,657,7,0
上海,6.1,673,660,7,1
上海,6.2,673,661,7,0
