省份,时间,确诊,治愈,死亡,新增确诊
内蒙古,1.26,11,0,0,4
内蒙古,1.27,13,0,0,2
内蒙古,1.28,16,0,0,3
内蒙古,1.29,18,0,0,2
内蒙古,1.30,20,0,0,2
内蒙古,1.31,23,0,0,3
内蒙古,2.1,27,0,0,4
内蒙古,2.2,34,0,0,7
内蒙古,2.3,35,1,0,1
内蒙古,2.4,42,1,0,7
内蒙古,2.5,46,4,0,4
内蒙古,2.6,50,4,0,4
内蒙古,2.7,52,5,0,2
内蒙古,2.8,54,5,0,2
内蒙古,2.9,58,5,0,4
内蒙古,2.10,58,5,0,0
内蒙古,2.11,60,5,0,2
内蒙古,2.12,61,6,0,1
内蒙古,2.13,65,6,0,4
内蒙古,2.14,68,6,0,3
内蒙古,2.15,70,7,0,2
内蒙古,2.16,72,8,0,2
内蒙古,2.17,73,8,0,1
内蒙古,2.18,75,9,0,2
内蒙古,2.19,75,11,0,0
内蒙古,2.20,75,16,0,0
内蒙古,2.21,75,22,0,0
内蒙古,2.22,75,26,0,0
内蒙古,2.23,75,30,0,0
内蒙古,2.24,75,34,0,0
内蒙古,2.25,75,35,0,0
内蒙古,2.26,75,38,0,0
内蒙古,2.27,75,43,0,0
内蒙古,2.28,75,46,0,0
内蒙古,2.29,75,51,0,0
内蒙古,3.1,75,51,0,0
内蒙古,3.2,75,54,1,0
内蒙古,3.3,75,59,1,0
内蒙古,3.4,75,63,1,0
内蒙古,3.5,75,65,1,0
内蒙古,3.6,75,65,1,0
内蒙古,3.7,75,68,1,0
内蒙古,3.8,75,70,1,0
内蒙古,3.9,75,70,1,0
内蒙古,3.10,75,70,1,0
内蒙古,3.11,75,71,1,0
内蒙古,3.12,75,71,1,0
内蒙古,3.13,75,71,1,0
内蒙古,3.14,75,71,1,0
内蒙古,3.15,75,71,1,0
内蒙古,3.16,75,73,1,0
内蒙古,3.17,75,73,1,0
内蒙古,3.18,75,74,1,0
内蒙古,3.19,75,74,1,0
内蒙古,3.24,77,74,1,2
内蒙古,3.25,89,74,1,12
内蒙古,3.26,92,74,1,3
内蒙古,3.27,94,74,1,2
内蒙古,3.28,95,74,1,1
内蒙古,3.29,97,74,1,2
内蒙古,3.30,107,74,1,10
内蒙古,3.31,111,74,1,4
内蒙古,4.1,117,74,1,6
内蒙古,4.2,117,74,1,0
内蒙古,4.3,117,74,1,0
内蒙古,4.4,117,74,1,0
内蒙古,4.5,118,74,1,1
内蒙古,4.6,121,74,1,3
内蒙古,4.7,124,74,1,3
内蒙古,4.8,126,79,1,2
内蒙古,4.9,128,79,1,2
内蒙古,4.10,155,79,1,27
内蒙古,4.11,155,83,1,0
内蒙古,4.12,190,83,1,35
内蒙古,4.13,190,91,1,0
内蒙古,4.14,190,94,1,0
内蒙古,4.15,193,94,1,3
内蒙古,4.16,193,103,1,0
内蒙古,4.17,193,104,1,0
内蒙古,4.18,193,104,1,0
内蒙古,4.19,194,104,1,1
内蒙古,4.20,194,108,1,0
内蒙古,4.21,194,108,1,0
内蒙古,4.22,194,108,1,0
内蒙古,4.23,194,108,1,0
内蒙古,4.24,197,114,1,3
内蒙古,4.25,198,121,1,1
内蒙古,4.26,198,129,1,0
内蒙古,4.27,199,145,1,1
内蒙古,4.28,199,146,1,0
内蒙古,4.29,200,150,1,1
内蒙古,4.30,201,152,1,1
内蒙古,5.1,201,154,1,0
内蒙古,5.2,201,154,1,0
内蒙古,5.3,201,156,1,0
内蒙古,5.4,201,160,1,0
内蒙古,5.5,201,167,1,0
内蒙古,5.6,201,171,1,0
内蒙古,5.7,201,172,1,0
内蒙古,5.8,201,175,1,0
内蒙古,5.9,201,184,1,0
内蒙古,5.10,208,187,1,7
内蒙古,5.11,209,188,1,1
内蒙古,5.12,209,190,1,0
内蒙古,5.13,209,190,1,0
内蒙古,5.14,209,194,1,0
内蒙古,5.15,209,196,1,0
内蒙古,5.16,209,196,1,0
内蒙古,5.17,213,196,1,4
内蒙古,5.18,216,196,1,3
内蒙古,5.19,217,196,1,1
内蒙古,5.20,217,199,1,0
内蒙古,5.21,217,199,1,0
内蒙古,5.22,217,199,1,0
内蒙古,5.23,217,199,1,0
内蒙古,5.24,227,201,1,10
内蒙古,5.25,232,204,1,5
内蒙古,5.26,232,205,1,0
内蒙古,5.27,232,205,1,0
内蒙古,5.28,232,205,1,0
内蒙古,5.29,232,206,1,0
内蒙古,5.30,232,206,1,0
内蒙古,5.31,235,207,1,3
内蒙古,6.1,235,209,1,0
内蒙古,6.2,235,209,1,0
