省份,时间,确诊,治愈,死亡,新增确诊
吉林,1.26,6,0,0,2
吉林,1.27,8,0,0,2
吉林,1.28,9,0,0,1
吉林,1.29,14,0,0,5
吉林,1.30,14,1,0,0
吉林,1.31,17,1,0,3
吉林,2.1,23,1,0,6
吉林,2.2,31,1,0,8
吉林,2.3,42,1,0,11
吉林,2.4,54,1,0,12
吉林,2.5,59,2,0,5
吉林,2.6,65,4,1,6
吉林,2.7,69,4,1,4
吉林,2.8,78,5,1,9
吉林,2.9,80,12,1,2
吉林,2.10,81,13,1,1
吉林,2.11,83,18,1,2
吉林,2.12,84,22,1,1
吉林,2.13,86,25,1,2
吉林,2.14,88,25,1,2
吉林,2.15,89,28,1,1
吉林,2.16,89,30,1,0
吉林,2.17,89,34,1,0
吉林,2.18,90,36,1,1
吉林,2.19,91,40,1,1
吉林,2.20,91,44,1,0
吉林,2.21,91,46,1,0
吉林,2.22,91,52,1,0
吉林,2.23,93,54,1,2
吉林,2.24,93,60,1,0
吉林,2.25,93,63,1,0
吉林,2.26,93,65,1,0
吉林,2.27,93,68,1,0
吉林,2.28,93,73,1,0
吉林,2.29,93,75,1,0
吉林,3.1,93,78,1,0
吉林,3.2,93,83,1,0
吉林,3.3,93,84,1,0
吉林,3.4,93,86,1,0
吉林,3.5,93,88,1,0
吉林,3.6,93,90,1,0
吉林,3.7,93,90,1,0
吉林,3.8,93,90,1,0
吉林,3.9,93,91,1,0
吉林,3.10,93,91,1,0
吉林,3.11,93,91,1,0
吉林,3.12,93,91,1,0
吉林,3.13,93,91,1,0
吉林,3.14,93,91,1,0
吉林,3.15,93,92,1,0
吉林,3.16,93,92,1,0
吉林,3.17,93,92,1,0
吉林,3.18,93,92,1,0
吉林,3.19,93,92,1,0
吉林,3.20,93,92,1,0
吉林,3.21,93,92,1,0
吉林,3.22,93,92,1,0
吉林,3.23,93,92,1,0
吉林,3.24,94,92,1,1
吉林,3.25,95,92,1,1
吉林,3.26,95,92,1,0
吉林,3.27,97,92,1,2
吉林,3.28,98,92,1,1
吉林,3.29,98,92,1,0
吉林,3.30,98,92,1,0
吉林,3.31,98,92,1,0
吉林,4.1,98,92,1,0
吉林,4.2,98,92,1,0
吉林,4.3,98,92,1,0
吉林,4.4,98,92,1,0
吉林,4.5,98,92,1,0
吉林,4.6,98,92,1,0
吉林,4.7,98,92,1,0
吉林,4.8,98,93,1,0
吉林,4.9,98,95,1,0
吉林,4.10,98,96,1,0
吉林,4.11,99,96,1,1
吉林,4.12,100,96,1,1
吉林,4.13,100,96,1,0
吉林,4.14,102,96,1,2
吉林,4.15,102,96,1,0
吉林,4.16,102,97,1,0
吉林,4.17,102,97,1,0
吉林,4.18,104,97,1,2
吉林,4.19,104,97,1,0
吉林,4.20,106,97,1,2
吉林,4.21,106,98,1,0
吉林,4.22,107,98,1,1
吉林,4.23,108,99,1,1
吉林,4.24,109,99,1,1
吉林,4.25,109,99,1,0
吉林,4.26,110,99,1,1
吉林,4.27,110,99,1,0
吉林,4.28,110,99,1,0
吉林,4.29,111,99,1,1
吉林,4.30,111,101,1,0
吉林,5.1,112,102,1,1
吉林,5.2,112,103,1,0
吉林,5.3,112,103,1,0
吉林,5.4,112,103,1,0
吉林,5.5,112,103,1,0
吉林,5.6,112,103,1,0
吉林,5.7,113,104,1,1
吉林,5.8,113,105,1,0
吉林,5.9,124,105,1,11
吉林,5.10,127,105,1,3
吉林,5.11,127,105,1,0
吉林,5.12,133,108,1,6
吉林,5.13,134,108,1,1
吉林,5.14,138,108,1,4
吉林,5.15,140,108,1,2
吉林,5.16,144,113,2,3
吉林,5.17,146,122,2,2
吉林,5.18,148,123,2,2
吉林,5.19,152,125,2,4
吉林,5.20,152,125,2,0
吉林,5.21,154,127,2,2
吉林,5.22,154,128,2,0
吉林,5.24,155,128,2,0
吉林,5.25,155,128,2,0
吉林,5.26,155,128,2,0
吉林,5.27,155,133,2,0
吉林,5.28,155,136,2,0
吉林,5.29,155,142,2,0
吉林,5.30,155,144,2,0
吉林,5.31,155,144,2,0
吉林,6.1,155,147,2,0
吉林,6.2,155,147,2,0
