省份,时间,确诊,治愈,死亡,新增确诊
四川,1.26,69,0,0,25
四川,1.27,90,0,0,21
四川,1.28,108,0,0,18
四川,1.29,142,1,1,34
四川,1.30,177,1,1,36
四川,1.31,207,3,1,30
四川,2.1,231,3,1,24
四川,2.2,254,12,1,23
四川,2.3,282,14,1,28
四川,2.4,301,23,1,19
四川,2.5,321,27,1,20
四川,2.6,344,37,1,23
四川,2.7,363,50,1,19
四川,2.8,386,60,1,23
四川,2.9,405,76,1,19
四川,2.10,417,82,1,12
四川,2.11,436,85,1,19
四川,2.12,451,93,1,15
四川,2.13,463,105,1,12
四川,2.14,470,115,1,7
四川,2.15,481,127,3,11
四川,2.16,495,136,3,14
四川,2.17,508,163,3,13
四川,2.18,514,177,3,6
四川,2.19,520,198,3,6
四川,2.20,525,222,3,5
四川,2.21,526,242,3,1
四川,2.22,526,256,3,0
四川,2.23,527,263,3,1
四川,2.24,529,278,3,2
四川,2.25,531,292,3,2
四川,2.26,534,310,3,3
四川,2.27,538,326,3,4
四川,2.28,538,350,3,0
四川,2.29,538,363,3,0
四川,3.1,538,378,3,0
四川,3.2,538,389,3,0
四川,3.3,538,400,3,0
四川,3.4,539,418,3,1
四川,3.5,539,428,3,0
四川,3.6,539,448,3,0
四川,3.7,539,457,3,0
四川,3.8,539,465,3,0
四川,3.9,539,470,3,0
四川,3.10,539,484,3,0
四川,3.11,539,494,3,0
四川,3.12,539,500,3,0
四川,3.13,539,510,3,0
四川,3.14,539,515,3,0
四川,3.15,539,516,3,0
四川,3.16,539,520,3,0
四川,3.17,540,525,3,1
四川,3.18,540,531,3,0
四川,3.19,541,536,3,1
四川,3.20,542,536,3,1
四川,3.21,543,536,3,1
四川,3.22,543,536,3,0
四川,3.23,543,536,3,2
四川,3.24,547,536,3,2
四川,3.25,547,536,3,0
四川,3.26,548,536,3,1
四川,3.27,548,536,3,0
四川,3.28,550,536,3,2
四川,3.29,550,536,3,0
四川,3.30,550,536,3,0
四川,3.31,552,536,3,2
四川,4.1,554,537,3,2
四川,4.2,555,537,3,1
四川,4.3,557,538,3,2
四川,4.4,558,539,3,1
四川,4.5,559,540,3,1
四川,4.6,560,541,3,1
四川,4.7,560,541,3,0
四川,4.8,560,541,3,0
四川,4.9,560,546,3,0
四川,4.10,560,547,3,0
四川,4.11,560,547,3,0
四川,4.12,560,548,3,0
四川,4.13,560,548,3,0
四川,4.14,560,550,3,0
四川,4.15,560,552,3,0
四川,4.16,560,552,3,0
四川,4.17,561,553,3,1
四川,4.18,561,554,3,0
四川,4.19,561,554,3,0
四川,4.20,561,554,3,0
四川,4.21,561,556,3,0
四川,4.22,561,557,3,0
四川,4.23,561,558,3,0
四川,4.24,561,558,3,0
四川,4.25,561,558,3,0
四川,4.26,561,558,3,0
四川,4.27,561,558,3,0
四川,4.28,561,558,3,0
四川,4.29,561,558,3,0
四川,4.30,561,558,3,0
四川,5.1,561,558,3,0
四川,5.2,561,558,3,0
四川,5.3,561,558,3,0
四川,5.4,561,558,3,0
四川,5.5,561,558,3,0
四川,5.6,561,558,3,0
四川,5.7,561,558,3,0
四川,5.8,561,558,3,0
四川,5.9,561,558,3,0
四川,5.10,561,558,3,0
四川,5.11,561,558,3,0
四川,5.12,561,558,3,0
四川,5.13,561,558,3,0
四川,5.14,561,558,3,0
四川,5.15,561,558,3,0
四川,5.16,561,558,3,0
四川,5.17,561,558,3,0
四川,5.18,561,558,3,0
四川,5.19,561,558,3,0
四川,5.20,561,558,3,0
四川,5.22,563,558,3,0
四川,5.23,563,558,3,0
四川,5.24,564,558,3,1
四川,5.25,564,558,3,0
四川,5.26,564,558,3,0
四川,5.27,564,558,3,0
四川,5.28,564,558,3,0
四川,5.29,564,558,3,0
四川,5.30,564,558,3,0
四川,5.31,575,558,3,0
四川,6.1,577,558,3,2
四川,6.2,577,558,3,0
