省份,时间,确诊,治愈,死亡,新增确诊
天津,1.26,14,0,0,4
天津,1.27,23,0,0,9
天津,1.28,24,0,0,1
天津,1.29,27,0,0,3
天津,1.30,30,0,0,4
天津,1.31,32,0,0,1
天津,2.1,41,0,0,9
天津,2.2,48,0,0,7
天津,2.3,66,1,0,12
天津,2.4,69,2,1,4
天津,2.5,69,2,1,2
天津,2.6,79,2,1,10
天津,2.7,88,2,1,9
天津,2.8,88,4,1,7
天津,2.9,91,4,1,3
天津,2.10,100,8,2,9
天津,2.11,106,10,2,6
天津,2.12,112,11,2,6
天津,2.13,119,21,3,7
天津,2.14,120,32,3,1
天津,2.15,122,37,3,2
天津,2.16,124,45,3,2
天津,2.17,125,46,3,1
天津,2.18,128,48,3,3
天津,2.19,130,54,3,2
天津,2.20,131,59,3,1
天津,2.21,133,62,3,2
天津,2.22,135,65,3,2
天津,2.23,135,81,3,0
天津,2.24,135,87,3,0
天津,2.25,135,91,3,0
天津,2.26,135,96,3,0
天津,2.27,136,102,3,1
天津,2.28,136,105,3,0
天津,2.29,136,109,3,0
天津,3.1,136,111,3,0
天津,3.2,136,118,3,0
天津,3.3,136,124,3,0
天津,3.4,136,128,3,0
天津,3.5,136,128,3,0
天津,3.6,136,128,3,0
天津,3.7,136,128,3,0
天津,3.8,136,129,3,0
天津,3.9,136,130,3,0
天津,3.10,136,131,3,0
天津,3.11,136,132,3,0
天津,3.12,136,132,3,0
天津,3.13,136,132,3,0
天津,3.14,136,132,3,0
天津,3.15,136,133,3,0
天津,3.16,136,133,3,0
天津,3.17,136,133,3,0
天津,3.18,136,133,3,0
天津,3.19,137,133,3,1
天津,3.20,137,133,3,0
天津,3.21,137,133,3,0
天津,3.22,137,133,3,0
天津,3.23,141,133,3,4
天津,3.24,145,133,3,4
天津,3.25,147,133,3,2
天津,3.26,152,133,3,5
天津,3.27,156,133,3,4
天津,3.28,163,133,3,7
天津,3.29,166,133,3,3
天津,3.30,174,133,3,8
天津,3.31,174,135,3,0
天津,4.1,176,135,3,2
天津,4.2,177,140,3,1
天津,4.3,180,140,3,3
天津,4.4,180,144,3,0
天津,4.5,180,144,3,0
天津,4.6,180,151,3,0
天津,4.7,180,152,3,0
天津,4.8,181,152,3,1
天津,4.9,182,154,3,1
天津,4.10,183,158,3,1
天津,4.11,183,161,3,0
天津,4.12,184,161,3,1
天津,4.13,184,164,3,0
天津,4.14,185,168,3,1
天津,4.15,185,171,3,0
天津,4.16,186,172,3,1
天津,4.17,189,173,3,3
天津,4.18,189,173,3,0
天津,4.19,189,174,3,0
天津,4.20,189,174,3,0
天津,4.21,189,176,3,0
天津,4.22,189,178,3,0
天津,4.23,189,179,3,0
天津,4.24,190,181,3,1
天津,4.25,190,182,3,0
天津,4.26,190,182,3,0
天津,4.27,190,182,3,0
天津,4.28,190,183,3,0
天津,4.29,190,183,3,0
天津,4.30,190,184,3,0
天津,5.1,190,185,3,0
天津,5.2,190,186,3,0
天津,5.3,190,186,3,0
天津,5.4,190,186,3,0
天津,5.5,190,186,3,0
天津,5.6,190,186,3,0
天津,5.7,190,186,3,0
天津,5.8,191,186,3,1
天津,5.9,191,186,3,0
天津,5.10,191,186,3,0
天津,5.11,191,186,3,0
天津,5.12,191,186,3,0
天津,5.13,191,187,3,0
天津,5.14,191,187,3,0
天津,5.15,191,187,3,0
天津,5.16,192,187,3,1
天津,5.17,192,187,3,0
天津,5.18,192,187,3,0
天津,5.19,192,187,3,0
天津,5.20,192,187,3,0
天津,5.21,192,187,3,0
天津,5.22,192,187,3,0
天津,5.23,192,187,3,0
天津,5.24,192,188,3,0
天津,5.25,192,188,3,0
天津,5.26,192,188,3,0
天津,5.27,192,188,3,0
天津,5.28,192,188,3,0
天津,5.29,192,188,3,0
天津,5.30,192,188,3,0
天津,5.31,192,188,3,0
天津,6.1,192,188,3,0
天津,6.2,192,188,3,0
