省份,时间,确诊,治愈,死亡,新增确诊
宁夏,1.26,11,0,0,3
宁夏,1.27,13,0,0,4
宁夏,1.28,16,0,0,1
宁夏,1.29,18,0,0,5
宁夏,1.30,20,0,0,4
宁夏,1.31,23,0,0,5
宁夏,2.1,27,0,0,2
宁夏,2.2,34,0,0,3
宁夏,2.3,34,1,0,3
宁夏,2.4,34,1,0,0
宁夏,2.5,40,1,0,6
宁夏,2.6,43,1,0,3
宁夏,2.7,45,3,0,2
宁夏,2.8,45,13,0,1
宁夏,2.9,49,13,0,4
宁夏,2.10,53,14,0,4
宁夏,2.11,58,22,0,5
宁夏,2.12,64,24,0,6
宁夏,2.13,67,24,0,3
宁夏,2.14,70,27,0,3
宁夏,2.15,70,33,0,0
宁夏,2.16,70,33,0,0
宁夏,2.17,70,35,0,0
宁夏,2.18,71,42,0,1
宁夏,2.19,71,42,0,0
宁夏,2.20,71,44,0,0
宁夏,2.21,71,48,0,0
宁夏,2.22,71,48,0,0
宁夏,2.23,71,57,0,0
宁夏,2.24,71,58,0,0
宁夏,2.25,71,61,0,0
宁夏,2.26,72,65,0,1
宁夏,2.27,72,68,0,0
宁夏,2.28,73,68,0,1
宁夏,2.29,73,69,0,0
宁夏,3.1,74,69,0,1
宁夏,3.2,74,69,0,0
宁夏,3.3,75,69,0,1
宁夏,3.4,75,69,0,0
宁夏,3.5,75,69,0,0
宁夏,3.6,75,71,0,0
宁夏,3.7,75,71,0,0
宁夏,3.8,75,71,0,0
宁夏,3.9,75,71,0,0
宁夏,3.10,75,71,0,0
宁夏,3.11,75,72,0,0
宁夏,3.12,75,72,0,0
宁夏,3.13,75,72,0,0
宁夏,3.14,75,73,0,0
宁夏,3.15,75,73,0,0
宁夏,3.16,75,75,0,0
宁夏,3.17,75,75,0,0
宁夏,3.18,75,75,0,0
宁夏,3.19,75,75,0,0
宁夏,3.20,75,75,0,0
宁夏,3.21,75,75,0,0
宁夏,3.22,75,75,0,0
宁夏,3.23,75,75,0,0
宁夏,3.24,75,75,0,0
宁夏,3.25,75,75,0,0
宁夏,3.26,75,75,0,0
宁夏,3.27,75,75,0,0
宁夏,3.28,75,75,0,0
宁夏,3.29,75,75,0,0
宁夏,3.30,75,75,0,0
宁夏,3.31,75,75,0,0
宁夏,4.1,75,75,0,0
宁夏,4.2,75,75,0,0
宁夏,4.3,75,75,0,0
宁夏,4.4,75,75,0,0
宁夏,4.5,75,75,0,0
宁夏,4.6,75,75,0,0
宁夏,4.7,75,75,0,0
宁夏,4.8,75,75,0,0
宁夏,4.9,75,75,0,0
宁夏,4.10,75,75,0,0
宁夏,4.11,75,75,0,0
宁夏,4.12,75,75,0,0
宁夏,4.13,75,75,0,0
宁夏,4.14,75,75,0,0
宁夏,4.15,75,75,0,0
宁夏,4.16,75,75,0,0
宁夏,4.17,75,75,0,0
宁夏,4.18,75,75,0,0
宁夏,4.19,75,75,0,0
宁夏,4.20,75,75,0,0
宁夏,4.21,75,75,0,0
宁夏,4.22,75,75,0,0
宁夏,4.23,75,75,0,0
宁夏,4.24,75,75,0,0
宁夏,4.25,75,75,0,0
宁夏,4.26,75,75,0,0
宁夏,4.27,75,75,0,0
宁夏,4.28,75,75,0,0
宁夏,4.29,75,75,0,0
宁夏,4.30,75,75,0,0
宁夏,5.1,75,75,0,0
宁夏,5.2,75,75,0,0
宁夏,5.3,75,75,0,0
宁夏,5.4,75,75,0,0
宁夏,5.5,75,75,0,0
宁夏,5.6,75,75,0,0
宁夏,5.7,75,75,0,0
宁夏,5.8,75,75,0,0
宁夏,5.9,75,75,0,0
宁夏,5.10,75,75,0,0
宁夏,5.11,75,75,0,0
宁夏,5.12,75,75,0,0
宁夏,5.13,75,75,0,0
宁夏,5.14,75,75,0,0
宁夏,5.15,75,75,0,0
宁夏,5.16,75,75,0,0
宁夏,5.17,75,75,0,0
宁夏,5.18,75,75,0,0
宁夏,5.19,75,75,0,0
宁夏,5.20,75,75,0,0
宁夏,5.21,75,75,0,0
宁夏,5.22,75,75,0,0
宁夏,5.23,75,75,0,0
宁夏,5.24,75,75,0,0
宁夏,5.25,75,75,0,0
宁夏,5.26,75,75,0,0
宁夏,5.27,75,75,0,0
宁夏,5.28,75,75,0,0
宁夏,5.29,75,75,0,0
宁夏,5.30,75,75,0,0
宁夏,5.31,75,75,0,0
宁夏,6.1,75,75,0,0
宁夏,6.2,75,75,0,0
