省份,时间,确诊,治愈,死亡,新增确诊
安徽,1.26,70,0,0,10
安徽,1.27,106,0,0,36
安徽,1.28,152,0,0,46
安徽,1.29,200,2,0,48
安徽,1.30,237,3,0,37
安徽,1.31,297,3,0,60
安徽,2.1,340,5,0,43
安徽,2.2,408,7,0,75
安徽,2.3,480,14,0,72
安徽,2.4,530,20,0,50
安徽,2.5,591,30,0,61
安徽,2.6,665,34,0,74
安徽,2.7,733,47,0,68
安徽,2.8,779,59,1,46
安徽,2.9,830,73,3,51
安徽,2.10,860,88,4,30
安徽,2.11,889,108,4,29
安徽,2.12,910,128,5,22
安徽,2.13,934,166,6,38
安徽,2.14,950,198,6,16
安徽,2.15,962,232,6,12
安徽,2.16,973,266,6,11
安徽,2.17,982,293,6,9
安徽,2.18,986,361,6,4
安徽,2.19,987,424,6,1
安徽,2.20,988,500,6,1
安徽,2.21,989,567,6,1
安徽,2.22,989,620,6,0
安徽,2.23,989,648,6,0
安徽,2.24,989,692,6,0
安徽,2.25,989,727,6,0
安徽,2.26,989,764,6,0
安徽,2.27,990,814,6,1
安徽,2.28,990,842,6,0
安徽,2.29,990,868,6,0
安徽,3.1,990,888,6,0
安徽,3.2,990,917,6,0
安徽,3.3,990,941,6,0
安徽,3.4,990,956,6,0
安徽,3.5,990,970,6,0
安徽,3.6,990,979,6,0
安徽,3.7,990,981,6,0
安徽,3.8,990,984,6,0
安徽,3.9,990,984,6,0
安徽,3.10,990,984,6,0
安徽,3.11,990,984,6,0
安徽,3.12,990,984,6,0
安徽,3.13,990,984,6,0
安徽,3.14,990,984,6,0
安徽,3.15,990,984,6,0
安徽,3.16,990,984,6,0
安徽,3.17,990,984,6,0
安徽,3.18,990,984,6,0
安徽,3.19,990,984,6,0
安徽,3.20,990,984,6,0
安徽,3.21,990,984,6,0
安徽,3.22,990,984,6,0
安徽,3.23,990,984,6,0
安徽,3.24,990,984,6,0
安徽,3.25,990,984,6,0
安徽,3.26,990,984,6,0
安徽,3.27,990,984,6,0
安徽,3.28,990,984,6,0
安徽,3.29,990,984,6,0
安徽,3.30,990,984,6,0
安徽,3.31,990,984,6,0
安徽,4.1,990,984,6,0
安徽,4.2,990,984,6,0
安徽,4.3,990,984,6,0
安徽,4.4,990,984,6,0
安徽,4.5,990,984,6,0
安徽,4.6,990,984,6,0
安徽,4.7,990,984,6,0
安徽,4.8,991,984,6,1
安徽,4.9,991,984,6,0
安徽,4.10,991,984,6,0
安徽,4.11,991,984,6,0
安徽,4.12,991,984,6,0
安徽,4.13,991,984,6,0
安徽,4.14,991,984,6,0
安徽,4.15,991,984,6,0
安徽,4.16,991,984,6,0
安徽,4.17,991,984,6,0
安徽,4.18,991,984,6,0
安徽,4.19,991,984,6,0
安徽,4.20,991,984,6,0
安徽,4.21,991,984,6,0
安徽,4.22,991,984,6,0
安徽,4.23,991,984,6,0
安徽,4.24,991,985,6,0
安徽,4.25,991,985,6,0
安徽,4.26,991,985,6,0
安徽,4.27,991,985,6,0
安徽,4.28,991,985,6,0
安徽,4.29,991,985,6,0
安徽,4.30,991,985,6,0
安徽,5.1,991,985,6,0
安徽,5.2,991,985,6,0
安徽,5.3,991,985,6,0
安徽,5.4,991,985,6,0
安徽,5.5,991,985,6,0
安徽,5.6,991,985,6,0
安徽,5.7,991,985,6,0
安徽,5.8,991,985,6,0
安徽,5.9,991,985,6,0
安徽,5.10,991,985,6,0
安徽,5.11,991,985,6,0
安徽,5.12,991,985,6,0
安徽,5.13,991,985,6,0
安徽,5.14,991,985,6,0
安徽,5.15,991,985,6,0
安徽,5.16,991,985,6,0
安徽,5.17,991,985,6,0
安徽,5.18,991,985,6,0
安徽,5.19,991,985,6,0
安徽,5.20,991,985,6,0
安徽,5.21,991,985,6,0
安徽,5.22,991,985,6,0
安徽,5.23,991,985,6,0
安徽,5.24,991,985,6,0
安徽,5.25,991,985,6,0
安徽,5.26,991,985,6,0
安徽,5.27,991,985,6,0
安徽,5.28,991,985,6,0
安徽,5.29,991,985,6,0
安徽,5.30,991,985,6,0
安徽,5.31,991,985,6,0
安徽,6.1,991,985,6,0
安徽,6.2,991,985,6,0
