省份,时间,确诊,治愈,死亡,新增确诊
山东,1.26,63,0,0,24
山东,1.27,87,0,0,24
山东,1.28,121,0,0,34
山东,1.29,145,1,0,24
山东,1.30,178,2,0,33
山东,1.31,202,2,0,24
山东,2.1,225,5,0,23
山东,2.2,246,6,0,21
山东,2.3,270,7,0,24
山东,2.4,298,13,0,28
山东,2.5,343,20,0,36
山东,2.6,379,31,0,32
山东,2.7,407,38,0,36
山东,2.8,435,50,1,19
山东,2.9,459,63,1,24
山东,2.10,486,71,1,27
山东,2.11,497,80,1,11
山东,2.12,506,98,2,9
山东,2.13,519,111,2,13
山东,2.14,530,139,2,11
山东,2.15,537,164,2,7
山东,2.16,541,175,2,4
山东,2.17,543,193,2,2
山东,2.18,544,215,3,1
山东,2.19,546,238,4,2
山东,2.20,748,270,4,202
山东,2.21,750,293,4,2
山东,2.22,754,311,4,4
山东,2.23,755,325,4,1
山东,2.24,755,343,6,0
山东,2.25,756,357,6,1
山东,2.26,756,381,6,0
山东,2.27,756,390,6,0
山东,2.28,756,411,6,0
山东,2.29,756,431,6,0
山东,3.1,758,455,6,2
山东,3.2,758,497,6,0
山东,3.3,758,511,6,0
山东,3.4,758,576,6,0
山东,3.5,758,602,6,0
山东,3.6,758,625,6,0
山东,3.7,758,637,6,0
山东,3.8,758,647,6,0
山东,3.9,758,703,6,0
山东,3.10,759,721,6,1
山东,3.11,760,733,6,1
山东,3.12,760,739,7,0
山东,3.13,760,740,7,0
山东,3.14,760,741,7,0
山东,3.15,760,743,7,0
山东,3.16,761,746,7,1
山东,3.17,761,746,7,0
山东,3.18,761,747,7,0
山东,3.19,762,748,7,1
山东,3.20,764,749,7,2
山东,3.21,765,750,7,1
山东,3.22,767,751,7,2
山东,3.23,768,752,7,1
山东,3.24,769,752,7,1
山东,3.25,769,752,7,0
山东,3.26,771,752,7,2
山东,3.27,772,752,7,1
山东,3.28,772,752,7,0
山东,3.29,773,753,7,1
山东,3.30,774,753,7,1
山东,3.31,774,753,7,0
山东,4.1,775,753,7,1
山东,4.2,778,754,7,3
山东,4.3,778,755,7,0
山东,4.4,779,755,7,1
山东,4.5,780,755,7,1
山东,4.6,781,755,7,1
山东,4.7,783,755,7,2
山东,4.8,783,756,7,0
山东,4.9,783,756,7,0
山东,4.10,784,757,7,1
山东,4.11,784,757,7,0
山东,4.12,784,758,7,0
山东,4.13,784,759,7,0
山东,4.14,784,761,7,0
山东,4.15,784,761,7,0
山东,4.16,787,761,7,3
山东,4.17,787,765,7,0
山东,4.18,787,765,7,0
山东,4.19,787,765,7,0
山东,4.20,787,765,7,0
山东,4.21,787,766,7,0
山东,4.22,787,766,7,0
山东,4.23,787,766,7,0
山东,4.24,787,767,7,0
山东,4.25,787,767,7,0
山东,4.26,787,768,7,0
山东,4.27,787,768,7,0
山东,4.28,787,771,7,0
山东,4.29,787,772,7,0
山东,4.30,787,772,7,0
山东,5.1,787,772,7,0
山东,5.2,787,772,7,0
山东,5.3,788,773,7,1
山东,5.4,788,773,7,0
山东,5.5,788,775,7,0
山东,5.6,788,775,7,0
山东,5.7,788,776,7,0
山东,5.8,788,776,7,0
山东,5.9,788,776,7,0
山东,5.10,788,777,7,0
山东,5.11,788,777,7,0
山东,5.12,788,777,7,0
山东,5.13,788,777,7,0
山东,5.14,788,778,7,0
山东,5.15,788,780,7,0
山东,5.16,788,780,7,0
山东,5.17,788,780,7,0
山东,5.18,788,780,7,0
山东,5.19,788,780,7,0
山东,5.20,788,780,7,0
山东,5.21,788,780,7,0
山东,5.22,788,780,7,0
山东,5.23,788,780,7,0
山东,5.24,788,780,7,0
山东,5.25,788,780,7,0
山东,5.26,788,780,7,0
山东,5.27,788,780,7,0
山东,5.28,788,780,7,0
山东,5.29,790,780,7,0
山东,5.30,792,780,7,2
山东,5.31,792,780,7,0
山东,6.1,792,780,7,0
山东,6.2,792,780,7,0
