省份,时间,确诊,治愈,死亡,新增确诊
山西,1.26,13,0,0,4
山西,1.27,20,0,0,7
山西,1.28,27,0,0,7
山西,1.29,35,1,0,8
山西,1.30,39,1,0,4
山西,1.31,47,1,0,8
山西,2.1,56,1,0,9
山西,2.2,66,2,0,10
山西,2.3,74,2,0,8
山西,2.4,81,4,0,7
山西,2.5,90,6,0,9
山西,2.6,96,12,0,6
山西,2.7,104,15,0,8
山西,2.8,115,21,0,12
山西,2.9,119,25,0,4
山西,2.10,122,26,0,3
山西,2.11,124,30,0,2
山西,2.12,126,33,0,2
山西,2.13,126,36,0,0
山西,2.14,127,38,0,1
山西,2.15,128,46,0,1
山西,2.16,129,50,0,1
山西,2.17,130,53,0,1
山西,2.18,131,61,0,1
山西,2.19,131,68,0,0
山西,2.20,132,76,0,1
山西,2.21,132,78,0,0
山西,2.22,132,81,0,0
山西,2.23,132,88,0,0
山西,2.24,133,94,0,1
山西,2.25,133,98,0,0
山西,2.26,133,104,0,0
山西,2.27,133,107,0,0
山西,2.28,133,112,0,0
山西,2.29,133,114,0,0
山西,3.1,133,116,0,0
山西,3.2,133,119,0,0
山西,3.3,133,124,0,0
山西,3.4,133,124,0,0
山西,3.5,133,126,0,0
山西,3.6,133,126,0,0
山西,3.7,133,126,0,0
山西,3.8,133,126,0,0
山西,3.9,133,127,0,0
山西,3.10,133,131,0,0
山西,3.11,133,131,0,0
山西,3.12,133,132,0,0
山西,3.13,133,133,0,0
山西,3.14,133,133,0,0
山西,3.15,133,133,0,0
山西,3.16,133,133,0,0
山西,3.17,133,133,0,0
山西,3.18,133,133,0,0
山西,3.19,133,133,0,0
山西,3.20,133,133,0,0
山西,3.21,133,133,0,0
山西,3.22,133,133,0,0
山西,3.23,134,133,0,1
山西,3.24,134,133,0,0
山西,3.25,135,133,0,1
山西,3.26,135,133,0,0
山西,3.27,135,133,0,0
山西,3.28,136,133,0,1
山西,3.29,136,133,0,0
山西,3.30,136,133,0,0
山西,3.31,137,133,0,1
山西,4.1,137,133,0,0
山西,4.2,137,133,0,0
山西,4.3,137,133,0,0
山西,4.4,138,133,0,1
山西,4.5,138,133,0,0
山西,4.6,138,133,0,0
山西,4.7,163,134,0,25
山西,4.8,166,134,0,3
山西,4.9,168,134,0,2
山西,4.10,172,135,0,4
山西,4.11,172,135,0,0
山西,4.12,173,135,0,1
山西,4.13,173,135,0,0
山西,4.14,186,135,0,13
山西,4.15,194,135,0,8
山西,4.16,197,135,0,3
山西,4.17,197,135,0,0
山西,4.18,197,135,0,0
山西,4.19,197,135,0,0
山西,4.20,197,140,0,0
山西,4.21,197,140,0,0
山西,4.22,197,142,0,0
山西,4.23,197,142,0,0
山西,4.24,197,149,0,0
山西,4.25,197,154,0,0
山西,4.26,197,157,0,0
山西,4.27,197,160,0,0
山西,4.28,197,160,0,0
山西,4.29,197,164,0,0
山西,4.30,197,172,0,0
山西,5.1,197,176,0,0
山西,5.2,198,176,0,1
山西,5.3,198,180,0,0
山西,5.4,198,190,0,0
山西,5.5,198,193,0,0
山西,5.6,198,194,0,0
山西,5.7,198,195,0,0
山西,5.8,198,196,0,0
山西,5.9,198,197,0,0
山西,5.10,198,197,0,0
山西,5.11,198,197,0,0
山西,5.12,198,198,0,0
山西,5.13,198,198,0,0
山西,5.14,198,198,0,0
山西,5.15,198,198,0,0
山西,5.16,198,198,0,0
山西,5.17,198,198,0,0
山西,5.18,198,198,0,0
山西,5.19,198,198,0,0
山西,5.20,198,198,0,0
山西,5.21,198,198,0,0
山西,5.22,198,198,0,0
山西,5.23,198,198,0,0
山西,5.24,198,198,0,0
山西,5.25,198,198,0,0
山西,5.26,198,198,0,0
山西,5.27,198,198,0,0
山西,5.28,198,198,0,0
山西,5.29,198,198,0,0
山西,5.30,198,198,0,0
山西,5.31,198,198,0,0
山西,6.1,198,198,0,0
山西,6.2,198,198,0,0
