省份,时间,确诊,治愈,死亡,新增确诊
广西,1.26,46,0,0,13
广西,1.27,51,0,0,5
广西,1.28,58,2,0,7
广西,1.29,78,2,0,20
广西,1.30,87,2,0,9
广西,1.31,100,2,0,13
广西,2.1,111,2,0,11
广西,2.2,127,2,0,16
广西,2.3,139,7,0,12
广西,2.4,150,10,0,11
广西,2.5,168,14,0,18
广西,2.6,172,17,0,4
广西,2.7,183,17,0,11
广西,2.8,195,18,1,12
广西,2.9,210,18,1,15
广西,2.10,215,30,1,5
广西,2.11,222,31,1,7
广西,2.12,222,33,2,0
广西,2.13,226,35,2,4
广西,2.14,235,40,2,9
广西,2.15,237,46,2,2
广西,2.16,238,51,2,1
广西,2.17,242,58,2,4
广西,2.18,244,76,2,2
广西,2.19,245,87,2,1
广西,2.20,246,95,2,1
广西,2.21,249,99,2,3
广西,2.22,249,104,2,0
广西,2.23,251,107,2,2
广西,2.24,252,129,2,1
广西,2.25,252,138,2,0
广西,2.26,252,159,2,0
广西,2.27,252,166,2,0
广西,2.28,252,172,2,0
广西,2.29,252,179,2,0
广西,3.1,252,188,2,0
广西,3.2,252,202,2,0
广西,3.3,252,210,2,0
广西,3.4,252,213,2,0
广西,3.5,252,217,2,0
广西,3.6,252,219,2,0
广西,3.7,252,223,2,0
广西,3.8,252,230,2,0
广西,3.9,252,234,2,0
广西,3.10,252,237,2,0
广西,3.11,252,241,2,0
广西,3.12,252,243,2,0
广西,3.13,252,243,2,0
广西,3.14,252,243,2,0
广西,3.15,252,247,2,0
广西,3.16,253,248,2,1
广西,3.17,253,250,2,0
广西,3.18,253,250,2,0
广西,3.19,254,250,2,1
广西,3.20,254,250,2,0
广西,3.21,254,250,2,0
广西,3.22,254,250,2,0
广西,3.23,254,250,2,0
广西,3.24,254,250,2,0
广西,3.25,254,250,2,0
广西,3.26,254,250,2,0
广西,3.27,254,250,2,0
广西,3.28,254,250,2,0
广西,3.29,254,250,2,0
广西,3.30,254,250,2,0
广西,3.31,254,250,2,0
广西,4.1,254,252,2,0
广西,4.2,254,252,2,0
广西,4.3,254,252,2,0
广西,4.4,254,252,2,0
广西,4.5,254,252,2,0
广西,4.6,254,252,2,0
广西,4.7,254,252,2,0
广西,4.8,254,252,2,0
广西,4.9,254,252,2,0
广西,4.10,254,252,2,0
广西,4.11,254,252,2,0
广西,4.12,254,252,2,0
广西,4.13,254,252,2,0
广西,4.14,254,252,2,0
广西,4.15,254,252,2,0
广西,4.16,254,252,2,0
广西,4.17,254,252,2,0
广西,4.18,254,252,2,0
广西,4.19,254,252,2,0
广西,4.20,254,252,2,0
广西,4.21,254,252,2,0
广西,4.22,254,252,2,0
广西,4.23,254,252,2,0
广西,4.24,254,252,2,0
广西,4.25,254,252,2,0
广西,4.26,254,252,2,0
广西,4.27,254,252,2,0
广西,4.28,254,252,2,0
广西,4.29,254,252,2,0
广西,4.30,254,252,2,0
广西,5.1,254,252,2,0
广西,5.2,254,252,2,0
广西,5.3,254,252,2,0
广西,5.4,254,252,2,0
广西,5.5,254,252,2,0
广西,5.6,254,252,2,0
广西,5.7,254,252,2,0
广西,5.8,254,252,2,0
广西,5.9,254,252,2,0
广西,5.10,254,252,2,0
广西,5.11,254,252,2,0
广西,5.12,254,252,2,0
广西,5.13,254,252,2,0
广西,5.14,254,252,2,0
广西,5.15,254,252,2,0
广西,5.16,254,252,2,0
广西,5.17,254,252,2,0
广西,5.18,254,252,2,0
广西,5.19,254,252,2,0
广西,5.20,254,252,2,0
广西,5.21,254,252,2,0
广西,5.22,254,252,2,0
广西,5.23,254,252,2,0
广西,5.24,254,252,2,0
广西,5.25,254,252,2,0
广西,5.26,254,252,2,0
广西,5.27,254,252,2,0
广西,5.28,254,252,2,0
广西,5.29,254,252,2,0
广西,5.30,254,252,2,0
广西,5.31,254,252,2,0
广西,6.1,254,252,2,0
广西,6.2,254,252,2,0
