date,确诊（全国）,治愈（全国）,死亡（全国）,确诊（湖北）,治愈（湖北）,死亡（湖北）,确诊（非湖北）,治愈（非湖北）,死亡（非湖北）,累积确诊
2020-01-24,910,37,26,105,3,7,805,34,19,910
2020-01-25,539,4,16,181,1,15,358,3,1,1449
2020-01-26,718,10,14,328,10,13,390,0,1,2167
2020-01-27,889,12,25,365,5,24,524,7,1,3056
2020-01-28,1811,15,25,1291,5,24,520,10,1,4867
2020-01-29,1529,20,27,840,35,25,689,15,2,6396
2020-01-30,1797,8,39,1349,3,37,448,5,2,8193
2020-01-31,2057,94,42,903,51,42,1154,43,0,10250
2020-02-01,2167,52,47,1347,27,45,820,25,2,12417
2020-02-02,2690,165,46,1921,99,45,769,66,1,15107
2020-02-03,2940,133,58,2103,33,56,837,100,2,18047
2020-02-04,3256,211,64,2345,97,64,911,114,0,21303
2020-02-05,3948,299,68,3156,139,65,792,160,3,25251
2020-02-06,3798,393,71,2987,176,70,811,217,1,29049
2020-02-07,3167,386,73,2447,155,69,720,231,4,32216
2020-02-08,3455,649,88,2841,351,81,614,298,7,35671
2020-02-09,2654,542,89,2147,262,81,507,280,8,38325
2020-02-10,3009,682,96,2531,374,91,478,308,5,41334
2020-02-11,2469,764,110,2097,456,103,372,308,7,43803
2020-02-12,2121,797,100,1638,376,94,483,421,6,45924
2020-02-13,15178,1217,253,14840,773,242,338,444,11,61102
2020-02-14,3950,857,14,3780,441,8,170,416,6,65052
2020-02-15,2758,1549,145,2420,921,139,338,628,6,67810
2020-02-16,1941,1267,142,1843,845,139,98,422,3,69751
2020-02-17,2127,1628,105,1933,1027,100,194,601,5,71878
2020-02-18,1914,1784,100,1807,1250,93,107,534,7,73792
2020-02-19,1757,1973,137,1693,1393,132,64,580,5,75549
2020-02-20,383,1826,113,349,1185,108,34,641,5,75932
2020-02-21,916,2040,118,631,1360,115,285,680,3,76848
2020-02-22,656,2290,108,792,1809,106,136,481,2,77504
2020-02-23,827,2307,99,630,1653,96,197,654,3,78331
2020-02-24,51,1726,149,203,1405,149,152,321,0,78382
2020-02-25,417,2647,68,499,2223,68,82,424,0,78799
2020-02-26,500,2511,54,401,1998,52,99,513,2,79299
2020-02-27,499,2894,30,409,2414,26,90,480,4,79798
2020-02-28,80,3227,45,318,3020,41,238,207,4,79878
2020-02-29,530,3121,47,423,2590,45,107,531,2,80408
2020-03-01,595,2891,37,570,2543,34,25,348,3,81003
2020-03-02,20,2504,33,196,2398,42,216,106,9,81023
2020-03-03,585,3019,44,114,2274,32,471,745,12,81608
2020-03-04,122,2595,36,115,2349,36,7,246,0,81730
2020-03-05,154,2313,32,134,2035,31,20,278,1,81884
2020-03-06,158,1674,29,126,1441,29,32,233,0,82042
2020-03-07,83,1605,28,74,1467,28,9,138,0,82125
2020-03-08,49,1857,27,41,1735,27,8,122,0,82174
2020-03-09,36,1428,23,36,1253,22,0,175,1,82210
2020-03-10,25,1388,16,17,1255,16,8,133,0,82235
2020-03-11,34,1479,22,13,1391,22,21,88,0,82269
2020-03-12,8,1266,11,8,1184,10,0,82,1,82277
2020-03-13,11,1314,7,5,1235,6,6,79,1,82288
2020-03-14,32,1469,13,4,1407,13,28,62,0,82320
2020-03-15,28,1368,10,4,1328,10,24,40,0,82348
2020-03-16,30,897,14,4,854,14,26,43,0,82378
2020-03-17,25,893,13,1,861,12,24,32,1,82403
2020-03-18,38,966,11,1,924,11,37,42,0,82441
2020-03-19,38,776,8,0,755,8,38,21,0,82479
2020-03-20,63,732,4,0,700,3,63,32,1,82542
2020-03-21,62,604,6,0,564,6,62,40,0,82604
2020-03-22,71,508,7,0,487,5,71,21,2,82675
2020-03-23,93,459,9,0,449,9,93,10,0,82768
2020-03-24,100,453,7,1,442,7,99,11,0,82868
2020-03-25,63,496,5,0,487,3,63,9,2,82931
2020-03-26,106,404,6,0,390,6,106,14,0,83037
2020-03-27,71,542,5,0,531,5,71,11,0,83108
2020-03-28,77,382,3,0,366,3,77,16,0,83185
2020-03-29,66,483,5,0,472,5,66,11,0,83251
2020-03-30,48,338,4,0,319,4,48,19,0,83299
2020-03-31,59,286,1,0,264,1,59,22,0,83358
2020-04-01,41,180,8,1,173,6,40,7,2,83399
2020-04-02,42,174,6,0,145,6,42,29,0,83441
2020-04-03,44,184,4,0,141,4,44,43,0,83485
2020-04-04,18,207,4,1,150,4,17,57,0,83503
2020-04-05,33,258,3,0,183,3,33,75,0,83536
2020-04-06,46,101,2,0,69,2,46,32,0,83582
2020-04-07,34,129,0,0,59,0,34,70,0,83616
2020-04-08,71,129,3,0,69,1,71,60,2,83687
2020-04-09,72,96,2,0,45,2,72,51,0,83759
2020-04-10,46,120,1,0,49,1,46,71,0,83805
2020-04-11,63,70,3,0,28,3,63,42,0,83868
2020-04-12,168,65,0,0,17,0,168,48,0,84036
2020-04-13,86,91,2,0,57,2,86,34,0,84122
2020-04-14,91,120,0,0,25,0,91,95,0,84213
2020-04-15,50,107,1,0,39,1,50,68,0,84263
2020-04-16,57,77,0,0,33,0,57,44,0,84320
2020-04-17,356,867,1290,325,948,1290,31,81,0,84676
2020-04-18,24,26,0,0,7,0,24,19,0,84700
2020-04-19,24,50,0,0,13,0,24,37,0,84724
2020-04-20,15,38,0,0,4,0,15,34,0,84739
2020-04-21,32,36,0,0,3,0,32,33,0,84771
2020-04-22,12,38,0,0,5,0,12,33,0,84783
2020-04-23,9,60,0,0,28,0,9,32,0,84792
2020-04-24,9,80,0,0,22,0,9,58,0,84801
2020-04-25,14,100,0,0,24,0,14,76,0,84815
2020-04-26,9,57,0,0,11,0,9,46,0,84824
2020-04-27,3,96,2,0,12,0,3,84,2,84827
2020-04-28,28,89,0,0,0,0,28,89,0,84855
2020-04-29,3,45,0,0,0,0,3,45,0,84858
2020-04-30,6,27,0,0,0,0,6,27,0,84864
2020-05-01,17,80,0,0,0,0,17,80,0,84881
2020-05-02,1,13,0,0,0,0,1,13,0,84882
2020-05-03,0,0,0,0,0,0,0,0,0,84882
2020-05-04,8,99,0,0,0,0,8,99,0,84890
2020-05-05,2,120,0,0,0,0,2,120,0,84892
2020-05-06,2,54,0,0,0,0,2,54,0,84894
2020-05-07,3,24,0,0,0,0,3,24,0,84897
2020-05-08,3,36,0,0,0,0,3,36,0,84900
2020-05-09,0,62,0,0,0,0,0,62,0,84900
2020-05-10,17,75,0,1,0,0,16,75,0,84917
2020-05-11,16,26,0,5,0,0,11,26,0,84933
2020-05-12,1,38,0,0,0,0,1,38,0,84934
2020-05-13,8,20,0,0,0,0,8,20,0,84942
2020-05-14,3,16,0,0,0,0,3,16,0,84945
2020-05-15,5,13,0,0,0,0,5,13,0,84950
2020-05-16,12,12,0,0,0,0,12,12,0,84962
2020-05-17,7,8,1,0,0,0,7,8,1,84969
2020-05-18,8,12,0,0,0,0,8,12,0,84977
2020-05-19,9,5,0,1,0,0,8,5,0,84986
2020-05-20,4,8,0,0,0,0,4,8,0,84990
2020-05-22,5,10,0,0,0,0,5,10,0,84995
2020-05-23,0,4,0,0,0,0,0,4,0,84995
2020-05-24,4,8,0,0,0,0,4,8,0,84999
2020-05-25,11,14,0,0,1,0,11,13,0,85010
2020-05-26,8,7,0,0,0,0,8,7,0,85018
2020-05-27,2,6,0,0,1,0,2,5,0,85020
2020-05-28,3,9,0,0,0,0,3,9,0,85023
2020-05-29,0,11,0,0,0,0,0,11,0,85023
2020-05-30,6,3,0,0,1,0,6,2,0,85029
2020-05-31,1,2,0,0,0,0,1,2,0,85030
2020-06-01,17,12,0,0,1,0,17,11,0,85047
2020-06-02,5,4,0,0,0,0,5,4,0,85052
