省份,时间,确诊,治愈,死亡,新增确诊
江苏,1.26,47,1,0,16
江苏,1.27,70,1,0,23
江苏,1.28,99,1,0,29
江苏,1.29,129,1,0,30
江苏,1.30,168,2,0,39
江苏,1.31,202,5,0,34
江苏,2.1,236,6,0,34
江苏,2.2,271,7,0,35
江苏,2.3,308,8,0,37
江苏,2.4,341,13,0,33
江苏,2.5,373,28,0,32
江苏,2.6,408,38,0,35
江苏,2.7,439,43,0,31
江苏,2.8,468,51,0,29
江苏,2.9,492,72,0,24
江苏,2.10,515,84,0,23
江苏,2.11,543,94,0,28
江苏,2.12,570,131,0,27
江苏,2.13,593,137,0,23
江苏,2.14,604,160,0,11
江苏,2.15,617,190,0,13
江苏,2.16,626,226,0,9
江苏,2.17,629,263,0,3
江苏,2.18,631,296,0,2
江苏,2.19,631,325,0,0
江苏,2.20,631,352,0,0
江苏,2.21,631,387,0,0
江苏,2.22,631,411,0,0
江苏,2.23,631,427,0,0
江苏,2.24,631,458,0,0
江苏,2.25,631,463,0,0
江苏,2.26,631,494,0,0
江苏,2.27,631,506,0,0
江苏,2.28,631,519,0,0
江苏,2.29,631,529,0,0
江苏,3.1,631,536,0,0
江苏,3.2,631,555,0,0
江苏,3.3,631,565,0,0
江苏,3.4,631,580,0,0
江苏,3.5,631,588,0,0
江苏,3.6,631,601,0,0
江苏,3.7,631,610,0,0
江苏,3.8,631,618,0,0
江苏,3.9,631,622,0,0
江苏,3.10,631,627,0,0
江苏,3.11,631,628,0,0
江苏,3.12,631,630,0,0
江苏,3.13,631,630,0,0
江苏,3.14,631,631,0,0
江苏,3.15,631,631,0,0
江苏,3.16,631,631,0,0
江苏,3.17,631,631,0,0
江苏,3.18,631,631,0,0
江苏,3.19,631,631,0,0
江苏,3.20,631,631,0,0
江苏,3.21,633,631,0,2
江苏,3.22,633,631,0,0
江苏,3.23,636,631,0,3
江苏,3.24,638,631,0,2
江苏,3.25,640,631,0,2
江苏,3.26,641,631,0,1
江苏,3.27,641,631,0,0
江苏,3.28,644,631,0,3
江苏,3.29,645,631,0,1
江苏,3.30,646,631,0,1
江苏,3.31,646,631,0,0
江苏,4.2,651,632,0,4
江苏,4.3,651,632,0,0
江苏,4.4,651,633,0,0
江苏,4.5,651,633,0,0
江苏,4.6,651,633,0,0
江苏,4.7,651,633,0,0
江苏,4.8,651,633,0,0
江苏,4.9,651,634,0,0
江苏,4.10,652,636,0,1
江苏,4.11,653,638,0,1
江苏,4.12,653,638,0,0
江苏,4.13,653,641,0,0
江苏,4.14,653,642,0,0
江苏,4.15,653,642,0,0
江苏,4.16,653,643,0,0
江苏,4.17,653,643,0,0
江苏,4.18,653,643,0,0
江苏,4.19,653,643,0,0
江苏,4.20,653,644,0,0
江苏,4.21,653,645,0,0
江苏,4.22,653,645,0,0
江苏,4.23,653,646,0,0
江苏,4.24,653,646,0,0
江苏,4.25,653,646,0,0
江苏,4.26,653,646,0,0
江苏,4.27,653,646,0,0
江苏,4.28,653,647,0,0
江苏,4.29,653,648,0,0
江苏,4.30,653,650,0,0
江苏,5.1,653,650,0,0
江苏,5.2,653,650,0,0
江苏,5.3,653,650,0,0
江苏,5.4,653,650,0,0
江苏,5.5,653,650,0,0
江苏,5.6,653,651,0,0
江苏,5.7,653,652,0,0
江苏,5.8,653,652,0,0
江苏,5.9,653,652,0,0
江苏,5.10,653,653,0,0
江苏,5.11,653,653,0,0
江苏,5.12,653,653,0,0
江苏,5.13,653,653,0,0
江苏,5.14,653,653,0,0
江苏,5.15,653,653,0,0
江苏,5.16,653,653,0,0
江苏,5.17,653,653,0,0
江苏,5.18,653,653,0,0
江苏,5.19,653,653,0,0
江苏,5.20,653,653,0,0
江苏,5.21,653,653,0,0
江苏,5.22,653,653,0,0
江苏,5.23,653,653,0,0
江苏,5.24,653,653,0,0
江苏,5.25,653,653,0,0
江苏,5.26,653,653,0,0
江苏,5.27,653,653,0,0
江苏,5.28,653,653,0,0
江苏,5.29,653,653,0,0
江苏,5.30,653,653,0,0
江苏,5.31,653,653,0,0
江苏,6.1,653,653,0,0
江苏,6.2,653,653,0,0
