省份,时间,确诊,治愈,死亡,新增确诊
江西,1.26,48,0,0,12
江西,1.27,72,2,0,24
江西,1.28,109,3,0,37
江西,1.29,162,3,0,53
江西,1.30,240,7,0,78
江西,1.31,286,9,0,47
江西,2.1,333,10,0,47
江西,2.2,391,18,0,59
江西,2.3,476,19,0,85
江西,2.4,548,27,0,72
江西,2.5,600,37,0,52
江西,2.6,661,45,0,61
江西,2.7,698,55,0,37
江西,2.8,740,72,0,42
江西,2.9,771,102,1,32
江西,2.10,804,127,1,32
江西,2.11,844,152,1,40
江西,2.12,872,170,1,28
江西,2.13,900,187,1,28
江西,2.14,913,210,1,13
江西,2.15,925,239,1,12
江西,2.16,930,275,1,5
江西,2.17,933,310,1,3
江西,2.18,934,362,1,1
江西,2.19,934,432,1,1
江西,2.20,934,489,1,0
江西,2.21,934,544,1,0
江西,2.22,934,611,1,0
江西,2.23,934,645,1,0
江西,2.24,934,682,1,0
江西,2.25,934,719,1,0
江西,2.26,934,754,1,0
江西,2.27,935,790,1,1
江西,2.28,935,811,1,0
江西,2.29,935,831,1,0
江西,3.1,935,850,1,0
江西,3.2,935,870,1,0
江西,3.3,935,884,1,0
江西,3.4,935,901,1,0
江西,3.5,935,908,1,0
江西,3.6,935,916,1,0
江西,3.7,935,918,1,0
江西,3.8,935,923,1,0
江西,3.9,935,927,1,0
江西,3.10,935,932,1,0
江西,3.11,935,934,1,0
江西,3.12,935,934,1,0
江西,3.13,935,934,1,0
江西,3.14,935,934,1,0
江西,3.15,935,934,1,0
江西,3.16,935,934,1,0
江西,3.17,935,934,1,0
江西,3.18,935,934,1,0
江西,3.19,935,934,1,0
江西,3.20,935,934,1,0
江西,3.21,936,934,1,1
江西,3.22,936,934,1,0
江西,3.23,936,934,1,0
江西,3.24,936,934,1,0
江西,3.25,936,934,1,0
江西,3.26,936,934,1,0
江西,3.27,936,934,1,0
江西,3.28,937,934,1,1
江西,3.29,937,935,1,0
江西,3.30,937,935,1,0
江西,3.31,937,935,1,0
江西,4.1,937,935,1,0
江西,4.2,937,935,1,0
江西,4.3,937,935,1,0
江西,4.4,937,935,1,0
江西,4.5,937,935,1,0
江西,4.6,937,935,1,0
江西,4.7,937,935,1,0
江西,4.8,937,935,1,0
江西,4.9,937,936,1,0
江西,4.10,937,936,1,0
江西,4.11,937,936,1,0
江西,4.12,937,936,1,0
江西,4.13,937,936,1,0
江西,4.14,937,936,1,0
江西,4.15,937,936,1,0
江西,4.16,937,936,1,0
江西,4.17,937,936,1,0
江西,4.18,937,936,1,0
江西,4.19,937,936,1,0
江西,4.20,937,936,1,0
江西,4.21,937,936,1,0
江西,4.22,937,936,1,0
江西,4.23,937,936,1,0
江西,4.24,937,936,1,0
江西,4.25,937,936,1,0
江西,4.26,937,936,1,0
江西,4.27,937,936,1,0
江西,4.28,937,936,1,0
江西,4.29,937,936,1,0
江西,4.30,937,936,1,0
江西,5.1,937,936,1,0
江西,5.2,937,936,1,0
江西,5.3,937,936,1,0
江西,5.4,937,936,1,0
江西,5.5,937,936,1,0
江西,5.6,937,936,1,0
江西,5.7,937,936,1,0
江西,5.8,937,936,1,0
江西,5.9,937,936,1,0
江西,5.10,937,936,1,0
江西,5.11,937,936,1,0
江西,5.12,937,936,1,0
江西,5.13,937,936,1,0
江西,5.14,937,936,1,0
江西,5.15,937,936,1,0
江西,5.16,937,936,1,0
江西,5.17,937,936,1,0
江西,5.18,937,936,1,0
江西,5.19,937,936,1,0
江西,5.20,937,936,1,0
江西,5.21,937,936,1,0
江西,5.22,937,936,1,0
江西,5.23,937,936,1,0
江西,5.24,937,936,1,0
江西,5.25,937,936,1,0
江西,5.26,937,936,1,0
江西,5.27,937,936,1,0
江西,5.28,937,936,1,0
江西,5.29,937,936,1,0
江西,5.30,937,936,1,0
江西,5.31,937,936,1,0
江西,6.1,937,936,1,0
