省份,时间,确诊,治愈,死亡,新增确诊
河北,1.26,18,0,1,5
河北,1.27,33,0,1,15
河北,1.28,48,0,1,15
河北,1.29,65,0,1,17
河北,1.30,82,0,1,17
河北,1.31,96,0,1,14
河北,2.1,104,0,1,8
河北,2.2,113,0,1,9
河北,2.3,126,3,1,13
河北,2.4,135,4,1,9
河北,2.5,157,7,1,22
河北,2.6,171,16,1,14
河北,2.7,195,25,1,24
河北,2.8,206,30,2,11
河北,2.9,218,35,2,12
河北,2.10,239,41,2,21
河北,2.11,251,48,2,12
河北,2.12,265,54,3,14
河北,2.13,283,69,3,18
河北,2.14,291,86,3,8
河北,2.15,300,100,3,9
河北,2.16,301,109,3,1
河北,2.17,302,123,4,1
河北,2.18,306,136,4,4
河北,2.19,307,152,5,1
河北,2.20,308,170,5,1
河北,2.21,309,184,6,1
河北,2.22,311,204,6,2
河北,2.23,311,221,6,0
河北,2.24,311,241,6,0
河北,2.25,312,248,6,1
河北,2.26,317,261,6,5
河北,2.27,318,274,6,1
河北,2.28,318,277,6,0
河北,2.29,318,283,6,0
河北,3.1,318,294,6,0
河北,3.2,318,297,6,0
河北,3.3,318,300,6,0
河北,3.4,318,301,6,0
河北,3.5,318,304,6,0
河北,3.6,318,305,6,0
河北,3.7,318,307,6,0
河北,3.8,318,307,6,0
河北,3.9,318,307,6,0
河北,3.10,318,307,6,0
河北,3.11,318,307,6,0
河北,3.12,318,310,6,0
河北,3.13,318,310,6,0
河北,3.14,318,310,6,0
河北,3.15,318,310,6,0
河北,3.16,318,310,6,0
河北,3.17,318,310,6,0
河北,3.18,318,310,6,0
河北,3.19,318,310,6,0
河北,3.20,318,310,6,0
河北,3.21,319,310,6,1
河北,3.22,319,310,6,0
河北,3.23,319,310,6,0
河北,3.24,319,310,6,0
河北,3.25,319,310,6,0
河北,3.26,319,310,6,0
河北,3.27,319,310,6,0
河北,3.28,319,310,6,0
河北,3.29,321,310,6,2
河北,3.30,321,310,6,0
河北,3.31,323,310,6,2
河北,4.1,325,310,6,2
河北,4.2,326,310,6,1
河北,4.3,326,310,6,0
河北,4.4,327,310,6,1
河北,4.5,327,310,6,0
河北,4.6,327,312,6,0
河北,4.7,327,312,6,0
河北,4.8,327,313,6,0
河北,4.9,327,313,6,0
河北,4.10,327,313,6,0
河北,4.11,327,313,6,0
河北,4.12,327,313,6,0
河北,4.13,327,314,6,0
河北,4.14,327,314,6,0
河北,4.15,328,315,6,1
河北,4.16,328,316,6,0
河北,4.17,328,316,6,0
河北,4.18,328,316,6,0
河北,4.19,328,317,6,0
河北,4.20,328,317,6,0
河北,4.21,328,317,6,0
河北,4.22,328,317,6,0
河北,4.23,328,317,6,0
河北,4.24,328,318,6,0
河北,4.25,328,318,6,0
河北,4.26,328,318,6,0
河北,4.27,328,318,6,0
河北,4.28,328,318,6,0
河北,4.29,328,318,6,0
河北,4.30,328,318,6,0
河北,5.1,328,318,6,0
河北,5.2,328,318,6,0
河北,5.3,328,318,6,0
河北,5.4,328,320,6,0
河北,5.5,328,320,6,0
河北,5.6,328,320,6,0
河北,5.7,328,320,6,0
河北,5.8,328,320,6,0
河北,5.9,328,321,6,0
河北,5.10,328,321,6,0
河北,5.11,328,321,6,0
河北,5.12,328,321,6,0
河北,5.13,328,321,6,0
河北,5.14,328,321,6,0
河北,5.15,328,321,6,0
河北,5.16,328,321,6,0
河北,5.17,328,322,6,0
河北,5.18,328,322,6,0
河北,5.19,328,322,6,0
河北,5.20,328,322,6,0
河北,5.21,328,322,6,0
河北,5.22,328,322,6,0
河北,5.23,328,322,6,0
河北,5.24,328,322,6,0
河北,5.25,328,322,6,0
河北,5.26,328,322,6,0
河北,5.27,328,322,6,0
河北,5.28,328,322,6,0
河北,5.29,328,322,6,0
河北,5.30,328,322,6,0
河北,5.31,328,322,6,0
河北,6.1,328,322,6,0
