省份,时间,确诊,治愈,死亡,新增确诊
河南,1.26,128,0,1,45
河南,1.27,168,0,1,40
河南,1.28,206,1,2,38
河南,1.29,278,2,2,72
河南,1.30,352,3,2,74
河南,1.31,422,3,2,70
河南,2.1,493,4,2,71
河南,2.2,566,14,2,73
河南,2.3,675,20,2,109
河南,2.4,764,41,2,89
河南,2.5,851,58,2,87
河南,2.6,914,68,3,63
河南,2.7,981,97,4,67
河南,2.8,1033,131,6,53
河南,2.9,1073,169,6,40
河南,2.10,1105,198,7,32
河南,2.11,1135,231,8,30
河南,2.12,1169,258,10,34
河南,2.13,1184,313,11,15
河南,2.14,1212,356,13,28
河南,2.15,1231,397,13,19
河南,2.16,1246,438,16,15
河南,2.17,1257,505,19,11
河南,2.18,1262,552,19,5
河南,2.19,1265,614,19,4
河南,2.20,1267,717,19,2
河南,2.21,1270,802,19,3
河南,2.22,1271,861,19,1
河南,2.23,1271,930,19,0
河南,2.24,1271,989,19,0
河南,2.25,1271,1023,19,0
河南,2.26,1272,1062,20,1
河南,2.27,1272,1103,20,0
河南,2.28,1272,1161,21,0
河南,2.29,1272,1185,22,0
河南,3.1,1272,1205,22,0
河南,3.2,1272,1223,22,0
河南,3.3,1272,1234,22,0
河南,3.4,1272,1239,22,0
河南,3.5,1272,1241,22,0
河南,3.6,1272,1243,22,0
河南,3.7,1272,1246,22,0
河南,3.8,1272,1247,22,0
河南,3.9,1272,1247,22,0
河南,3.10,1272,1249,22,0
河南,3.11,1273,1249,22,1
河南,3.12,1273,1249,22,0
河南,3.13,1273,1249,22,0
河南,3.14,1273,1250,22,0
河南,3.15,1273,1250,22,0
河南,3.16,1273,1250,22,0
河南,3.17,1273,1250,22,0
河南,3.18,1273,1250,22,0
河南,3.19,1273,1250,22,0
河南,3.20,1273,1250,22,0
河南,3.21,1273,1250,22,0
河南,3.22,1274,1250,22,1
河南,3.23,1274,1250,22,0
河南,3.24,1274,1250,22,0
河南,3.25,1275,1250,22,1
河南,3.26,1275,1250,22,0
河南,3.27,1275,1251,22,0
河南,3.28,1276,1251,22,1
河南,3.29,1276,1251,22,0
河南,3.30,1276,1251,22,0
河南,3.31,1276,1251,22,0
河南,4.1,1276,1251,22,0
河南,4.2,1276,1251,22,0
河南,4.3,1276,1251,22,0
河南,4.4,1276,1251,22,0
河南,4.5,1276,1252,22,0
河南,4.6,1276,1252,22,0
河南,4.7,1276,1252,22,0
河南,4.8,1276,1252,22,0
河南,4.9,1276,1252,22,0
河南,4.10,1276,1252,22,0
河南,4.11,1276,1253,22,0
河南,4.12,1276,1253,22,0
河南,4.13,1276,1254,22,0
河南,4.14,1276,1254,22,0
河南,4.15,1276,1254,22,0
河南,4.16,1276,1254,22,0
河南,4.17,1276,1254,22,0
河南,4.18,1276,1254,22,0
河南,4.19,1276,1254,22,0
河南,4.20,1276,1254,22,0
河南,4.21,1276,1254,22,0
河南,4.22,1276,1254,22,0
河南,4.23,1276,1254,22,0
河南,4.24,1276,1254,22,0
河南,4.25,1276,1254,22,0
河南,4.26,1276,1254,22,0
河南,4.27,1276,1254,22,0
河南,4.28,1276,1254,22,0
河南,4.29,1276,1254,22,0
河南,4.30,1276,1254,22,0
河南,5.1,1276,1254,22,0
河南,5.2,1276,1254,22,0
河南,5.3,1276,1254,22,0
河南,5.4,1276,1254,22,0
河南,5.5,1276,1254,22,0
河南,5.6,1276,1254,22,0
河南,5.7,1276,1254,22,0
河南,5.8,1276,1254,22,0
河南,5.9,1276,1254,22,0
河南,5.10,1276,1254,22,0
河南,5.11,1276,1254,22,0
河南,5.12,1276,1254,22,0
河南,5.13,1276,1254,22,0
河南,5.14,1276,1254,22,0
河南,5.15,1276,1254,22,0
河南,5.16,1276,1254,22,0
河南,5.17,1276,1254,22,0
河南,5.18,1276,1254,22,0
河南,5.19,1276,1254,22,0
河南,5.20,1276,1254,22,0
河南,5.21,1276,1254,22,0
河南,5.22,1276,1254,22,0
河南,5.23,1276,1254,22,0
河南,5.24,1276,1254,22,0
河南,5.25,1276,1254,22,0
河南,5.26,1276,1254,22,0
河南,5.27,1276,1254,22,0
河南,5.28,1276,1254,22,0
河南,5.29,1276,1254,22,0
河南,5.30,1276,1254,22,0
河南,5.31,1276,1254,22,0
河南,6.1,1276,1254,22,0
河南,6.2,1276,1254,22,0
