省份,时间,确诊,治愈,死亡,新增确诊
浙江,1.26,128,1,0,24
浙江,1.27,173,1,0,45
浙江,1.28,296,3,0,123
浙江,1.29,428,4,0,132
浙江,1.30,537,9,0,109
浙江,1.31,599,15,0,62
浙江,2.1,661,23,0,62
浙江,2.2,724,36,0,63
浙江,2.3,829,48,0,105
浙江,2.4,895,63,0,66
浙江,2.5,954,81,0,59
浙江,2.6,1006,98,0,52
浙江,2.7,1048,127,0,42
浙江,2.8,1075,173,0,27
浙江,2.9,1092,201,0,29
浙江,2.10,1117,250,0,25
浙江,2.11,1131,279,0,14
浙江,2.12,1145,327,0,14
浙江,2.13,1155,367,0,10
浙江,2.14,1162,409,0,7
浙江,2.15,1167,437,0,5
浙江,2.16,1171,470,0,4
浙江,2.17,1172,514,0,1
浙江,2.18,1173,544,0,1
浙江,2.19,1175,609,0,2
浙江,2.20,1203,647,1,28
浙江,2.21,1205,694,1,2
浙江,2.22,1205,729,1,0
浙江,2.23,1205,765,1,0
浙江,2.24,1205,794,1,0
浙江,2.25,1205,814,1,0
浙江,2.26,1205,881,1,0
浙江,2.27,1205,943,1,0
浙江,2.28,1205,987,1,0
浙江,2.29,1205,1027,1,0
浙江,3.1,1205,1050,1,0
浙江,3.2,1213,1086,1,7
浙江,3.3,1213,1107,1,0
浙江,3.4,1215,1130,1,2
浙江,3.5,1215,1153,1,0
浙江,3.6,1215,1161,1,0
浙江,3.7,1215,1169,1,0
浙江,3.8,1215,1182,1,0
浙江,3.9,1215,1190,1,0
浙江,3.10,1215,1205,1,0
浙江,3.11,1215,1209,1,0
浙江,3.12,1215,1209,1,0
浙江,3.13,1227,1211,1,0
浙江,3.14,1231,1211,1,4
浙江,3.15,1231,1213,1,0
浙江,3.16,1232,1216,1,1
浙江,3.17,1232,1216,1,0
浙江,3.18,1233,1217,1,1
浙江,3.19,1234,1219,1,1
浙江,3.20,1236,1219,1,2
浙江,3.21,1237,1219,1,1
浙江,3.22,1238,1221,1,1
浙江,3.23,1240,1221,1,2
浙江,3.24,1241,1221,1,1
浙江,3.25,1243,1222,1,2
浙江,3.26,1247,1222,1,4
浙江,3.27,1251,1225,1,4
浙江,3.28,1254,1225,1,3
浙江,3.29,1255,1225,1,1
浙江,3.30,1257,1226,1,2
浙江,3.31,1257,1226,1,0
浙江,4.1,1258,1228,1,1
浙江,4.2,1260,1228,1,2
浙江,4.3,1262,1229,1,2
浙江,4.4,1263,1230,1,1
浙江,4.5,1264,1230,1,1
浙江,4.6,1265,1230,1,1
浙江,4.7,1266,1232,1,1
浙江,4.8,1267,1235,1,1
浙江,4.9,1267,1235,1,0
浙江,4.10,1267,1236,1,0
浙江,4.11,1267,1238,1,0
浙江,4.12,1267,1239,1,0
浙江,4.13,1267,1242,1,0
浙江,4.14,1268,1244,1,1
浙江,4.15,1268,1244,1,0
浙江,4.16,1268,1246,1,0
浙江,4.17,1268,1246,1,0
浙江,4.18,1268,1247,1,0
浙江,4.19,1268,1249,1,0
浙江,4.20,1268,1251,1,0
浙江,4.21,1268,1252,1,0
浙江,4.22,1268,1254,1,0
浙江,4.23,1268,1256,1,0
浙江,4.24,1268,1256,1,0
浙江,4.25,1268,1257,1,0
浙江,4.26,1268,1258,1,0
浙江,4.27,1268,1261,1,0
浙江,4.28,1268,1262,1,0
浙江,4.29,1268,1263,1,0
浙江,4.30,1268,1264,1,0
浙江,5.1,1268,1265,1,0
浙江,5.2,1268,1265,1,0
浙江,5.3,1268,1265,1,0
浙江,5.4,1268,1267,1,0
浙江,5.5,1268,1267,1,0
浙江,5.6,1268,1267,1,0
浙江,5.7,1268,1267,1,0
浙江,5.8,1268,1267,1,0
浙江,5.9,1268,1267,1,0
浙江,5.10,1268,1267,1,0
浙江,5.11,1268,1267,1,0
浙江,5.12,1268,1267,1,0
浙江,5.13,1268,1267,1,0
浙江,5.14,1268,1267,1,0
浙江,5.15,1268,1267,1,0
浙江,5.16,1268,1267,1,0
浙江,5.17,1268,1267,1,0
浙江,5.18,1268,1267,1,0
浙江,5.19,1268,1267,1,0
浙江,5.20,1268,1267,1,0
浙江,5.21,1268,1267,1,0
浙江,5.22,1268,1267,1,0
浙江,5.23,1268,1267,1,0
浙江,5.24,1268,1267,1,0
浙江,5.25,1268,1267,1,0
浙江,5.26,1268,1267,1,0
浙江,5.27,1268,1267,1,0
浙江,5.28,1268,1267,1,0
浙江,5.29,1268,1267,1,0
浙江,5.30,1268,1267,1,0
浙江,5.31,1268,1267,1,0
浙江,6.1,1268,1267,1,0
浙江,6.2,1268,1267,1,0
