省份,时间,确诊,治愈,死亡,新增确诊
湖北,1.26,1423,44,76,371
湖北,1.27,2714,47,100,1291
湖北,1.28,3554,80,125,840
湖北,1.29,4586,90,162,1032
湖北,1.30,5806,116,204,1220
湖北,1.31,7153,166,249,1347
湖北,2.1,9074,215,294,1921
湖北,2.2,11177,295,350,2103
湖北,2.3,13522,396,414,2345
湖北,2.4,16678,520,479,3156
湖北,2.5,19665,633,549,2987
湖北,2.6,22112,817,618,2447
湖北,2.7,24953,1115,699,2841
湖北,2.8,27100,1439,780,2147
湖北,2.9,29631,1795,871,2618
湖北,2.10,31728,2222,974,2097
湖北,2.11,33366,2639,1068,1638
湖北,2.12,48206,3441,1310,14840
湖北,2.13,51986,3862,1318,4823
湖北,2.14,54406,4774,1457,2420
湖北,2.15,56249,5623,1596,1843
湖北,2.16,58182,6639,1696,1933
湖北,2.17,59989,7862,1789,1807
湖北,2.18,61682,9128,1921,1693
湖北,2.19,62457,10337,2029,775
湖北,2.20,63088,11788,2144,631
湖北,2.21,63454,13557,2250,366
湖北,2.22,64084,15299,2346,630
湖北,2.23,64287,16738,2495,398
湖北,2.24,64786,18854,2563,499
湖北,2.25,65187,20912,2615,401
湖北,2.26,65596,23200,2641,409
湖北,2.27,65914,26403,2682,318
湖北,2.28,66337,28895,2727,423
湖北,2.29,66907,31187,2761,570
湖北,3.1,67103,33757,2803,196
湖北,3.2,67217,36167,2834,114
湖北,3.3,67332,38556,2871,115
湖北,3.4,67466,40479,2902,134
湖北,3.5,67592,41966,2931,126
湖北,3.6,67666,43468,2959,74
湖北,3.7,67707,45011,2986,41
湖北,3.8,67743,46433,3007,36
湖北,3.9,67760,47585,3024,17
湖北,3.10,67773,49056,3046,13
湖北,3.11,67781,50298,3056,8
湖北,3.12,67786,51553,3062,5
湖北,3.13,67790,52943,3075,4
湖北,3.14,67794,54278,3085,4
湖北,3.15,67798,55094,3099,4
湖北,3.16,67799,55987,3111,1
湖北,3.17,67800,56883,3122,1
湖北,3.18,67800,57678,3130,0
湖北,3.19,67800,58381,3132,0
湖北,3.20,67800,58942,3139,0
湖北,3.21,67800,59432,3144,0
湖北,3.22,67800,59879,3153,0
湖北,3.23,67801,60323,3160,1
湖北,3.24,67801,60810,3163,0
湖北,3.25,67801,61201,3169,0
湖北,3.26,67801,61731,3174,0
湖北,3.27,67801,62098,3177,0
湖北,3.28,67801,62565,3182,0
湖北,3.29,67801,62882,3186,0
湖北,3.30,67801,63153,3187,0
湖北,3.31,67802,63326,3193,1
湖北,4.1,67802,63471,3199,0
湖北,4.2,67802,63612,3203,0
湖北,4.3,67803,63762,3207,1
湖北,4.4,67803,63945,3210,1
湖北,4.5,67803,64014,3212,0
湖北,4.6,67803,64073,3212,0
湖北,4.7,67803,64142,3213,0
湖北,4.8,67803,64187,3215,0
湖北,4.9,67803,64236,3216,0
湖北,4.10,67803,64264,3219,0
湖北,4.11,67803,64281,3219,0
湖北,4.12,67803,64338,3221,0
湖北,4.13,67803,64363,3221,0
湖北,4.14,67803,64402,3222,0
湖北,4.15,67803,64435,3222,0
湖北,4.16,67803,64452,3222,0
湖北,4.17,68128,63494,4512,0
湖北,4.18,68128,63507,4512,0
湖北,4.19,68128,63511,4512,0
湖北,4.20,68128,63514,4512,0
湖北,4.21,68128,63519,4512,0
湖北,4.22,68128,63547,4512,0
湖北,4.23,68128,63569,4512,0
湖北,4.24,68128,63593,4512,0
湖北,4.25,68128,63604,4512,0
湖北,4.26,68128,63616,4512,0
湖北,4.27,68128,63616,4512,0
湖北,4.28,68128,63616,4512,0
湖北,4.29,68128,63616,4512,0
湖北,4.30,68128,63616,4512,0
湖北,5.1,68128,63616,4512,0
湖北,5.2,68128,63616,4512,0
湖北,5.3,68128,63616,4512,0
湖北,5.4,68128,63616,4512,0
湖北,5.5,68128,63616,4512,0
湖北,5.6,68128,63616,4512,0
湖北,5.7,68128,63616,4512,0
湖北,5.8,68128,63616,4512,0
湖北,5.9,68129,63616,4512,1
湖北,5.10,68134,63616,4512,5
湖北,5.11,68134,63616,4512,0
湖北,5.12,68134,63616,4512,0
湖北,5.13,68134,63616,4512,0
湖北,5.14,68134,63616,4512,0
湖北,5.15,68134,63616,4512,0
湖北,5.16,68134,63616,4512,0
湖北,5.17,68134,63616,4512,0
湖北,5.18,68135,63616,4512,1
湖北,5.19,68135,63616,4512,0
湖北,5.20,68135,63616,4512,0
湖北,5.21,68135,63616,4512,0
湖北,5.22,68135,63616,4512,0
湖北,5.23,68135,63616,4512,0
湖北,5.24,68135,63617,4512,0
湖北,5.25,68135,63617,4512,0
湖北,5.26,68135,63618,4512,0
湖北,5.27,68135,63618,4512,0
湖北,5.28,68135,63618,4512,0
湖北,5.29,68135,63619,4512,0
湖北,5.30,68135,63619,4512,0
湖北,5.31,68135,63620,4512,0
湖北,6.1,68135,63620,4512,0
