省份,时间,确诊,治愈,死亡,新增确诊
湖南,1.26,100,0,0,31
湖南,1.27,143,0,0,43
湖南,1.28,221,0,0,78
湖南,1.29,277,0,0,56
湖南,1.30,332,2,0,55
湖南,1.31,389,3,0,57
湖南,2.1,463,8,0,74
湖南,2.2,521,16,0,58
湖南,2.3,593,22,0,72
湖南,2.4,661,35,0,68
湖南,2.5,711,56,0,50
湖南,2.6,772,91,0,61
湖南,2.7,803,119,0,31
湖南,2.8,838,159,1,35
湖南,2.9,879,186,1,41
湖南,2.10,912,213,1,33
湖南,2.11,946,263,2,34
湖南,2.12,968,312,2,22
湖南,2.13,988,352,2,20
湖南,2.14,1001,389,2,13
湖南,2.15,1004,430,3,3
湖南,2.16,1006,467,3,2
湖南,2.17,1007,501,4,1
湖南,2.18,1008,542,4,1
湖南,2.19,1010,578,4,2
湖南,2.20,1011,638,4,1
湖南,2.21,1013,670,4,2
湖南,2.22,1016,704,4,3
湖南,2.23,1016,721,4,0
湖南,2.24,1016,751,4,0
湖南,2.25,1016,779,4,0
湖南,2.26,1017,793,4,1
湖南,2.27,1017,820,4,0
湖南,2.28,1018,841,4,1
湖南,2.29,1018,853,4,0
湖南,3.1,1018,876,4,0
湖南,3.2,1018,892,4,0
湖南,3.3,1018,913,4,0
湖南,3.4,1018,933,4,0
湖南,3.5,1018,946,4,0
湖南,3.6,1018,959,4,0
湖南,3.7,1018,965,4,0
湖南,3.8,1018,979,4,0
湖南,3.9,1018,988,4,0
湖南,3.10,1018,995,4,0
湖南,3.11,1018,998,4,0
湖南,3.12,1018,1004,4,0
湖南,3.13,1018,1009,4,0
湖南,3.14,1018,1014,4,0
湖南,3.15,1018,1014,4,0
湖南,3.16,1018,1014,4,0
湖南,3.17,1018,1014,4,0
湖南,3.18,1018,1014,4,0
湖南,3.19,1018,1014,4,0
湖南,3.20,1018,1014,4,0
湖南,3.21,1018,1014,4,0
湖南,3.22,1018,1014,4,0
湖南,3.23,1018,1014,4,0
湖南,3.24,1018,1014,4,0
湖南,3.25,1018,1014,4,0
湖南,3.26,1018,1014,4,0
湖南,3.27,1018,1014,4,0
湖南,3.28,1018,1014,4,0
湖南,3.29,1018,1014,4,0
湖南,3.30,1018,1014,4,0
湖南,3.31,1018,1014,4,0
湖南,4.1,1019,1014,4,1
湖南,4.2,1019,1014,4,0
湖南,4.3,1019,1014,4,0
湖南,4.4,1019,1014,4,0
湖南,4.5,1019,1014,4,0
湖南,4.6,1019,1014,4,0
湖南,4.7,1019,1014,4,0
湖南,4.8,1019,1014,4,0
湖南,4.9,1019,1014,4,0
湖南,4.10,1019,1014,4,0
湖南,4.11,1019,1014,4,0
湖南,4.12,1019,1014,4,0
湖南,4.13,1019,1014,4,0
湖南,4.14,1019,1014,4,0
湖南,4.15,1019,1014,4,0
湖南,4.16,1019,1014,4,0
湖南,4.17,1019,1015,4,0
湖南,4.18,1019,1015,4,0
湖南,4.19,1019,1015,4,0
湖南,4.20,1019,1015,4,0
湖南,4.21,1019,1015,4,0
湖南,4.22,1019,1015,4,0
湖南,4.23,1019,1015,4,0
湖南,4.24,1019,1015,4,0
湖南,4.25,1019,1015,4,0
湖南,4.26,1019,1015,4,0
湖南,4.27,1019,1015,4,0
湖南,4.28,1019,1015,4,0
湖南,4.29,1019,1015,4,0
湖南,4.30,1019,1015,4,0
湖南,5.1,1019,1015,4,0
湖南,5.2,1019,1015,4,0
湖南,5.3,1019,1015,4,0
湖南,5.4,1019,1015,4,0
湖南,5.5,1019,1015,4,0
湖南,5.6,1019,1015,4,0
湖南,5.7,1019,1015,4,0
湖南,5.8,1019,1015,4,0
湖南,5.9,1019,1015,4,0
湖南,5.10,1019,1015,4,0
湖南,5.11,1019,1015,4,0
湖南,5.12,1019,1015,4,0
湖南,5.13,1019,1015,4,0
湖南,5.14,1019,1015,4,0
湖南,5.15,1019,1015,4,0
湖南,5.16,1019,1015,4,0
湖南,5.17,1019,1015,4,0
湖南,5.18,1019,1015,4,0
湖南,5.19,1019,1015,4,0
湖南,5.20,1019,1015,4,0
湖南,5.21,1019,1015,4,0
湖南,5.22,1019,1015,4,0
湖南,5.23,1019,1015,4,0
湖南,5.24,1019,1015,4,0
湖南,5.25,1019,1015,4,0
湖南,5.26,1019,1015,4,0
湖南,5.27,1019,1015,4,0
湖南,5.28,1019,1015,4,0
湖南,5.29,1019,1015,4,0
湖南,5.30,1019,1015,4,0
湖南,5.31,1019,1015,4,0
湖南,6.1,1019,1015,4,0
湖南,6.2,1019,1015,4,0
