省份,时间,确诊,治愈,死亡,新增确诊
福建,1.26,29,0,0,27
福建,1.27,59,0,0,17
福建,1.28,82,0,0,9
福建,1.29,101,0,0,19
福建,1.30,120,0,0,19
福建,1.31,144,0,0,24
福建,2.1,159,0,0,15
福建,2.2,179,0,0,20
福建,2.3,194,1,0,15
福建,2.4,205,7,0,11
福建,2.5,215,11,0,10
福建,2.6,224,15,0,9
福建,2.7,239,20,0,15
福建,2.8,250,24,0,11
福建,2.9,261,35,0,11
福建,2.10,267,39,0,6
福建,2.11,272,46,0,5
福建,2.12,279,54,0,7
福建,2.13,281,59,0,2
福建,2.14,285,66,0,4
福建,2.15,287,77,0,2
福建,2.16,290,84,0,3
福建,2.17,292,91,0,2
福建,2.18,293,96,0,1
福建,2.19,293,112,1,0
福建,2.20,293,134,1,0
福建,2.21,293,150,1,0
福建,2.22,293,165,1,0
福建,2.23,293,174,1,0
福建,2.24,294,188,1,1
福建,2.25,294,205,1,0
福建,2.26,296,225,1,2
福建,2.27,296,232,1,0
福建,2.28,296,241,1,0
福建,2.29,296,243,1,0
福建,3.1,296,247,1,0
福建,3.2,296,255,1,0
福建,3.3,296,261,1,0
福建,3.4,296,270,1,0
福建,3.5,296,278,1,0
福建,3.6,296,284,1,0
福建,3.7,296,295,1,0
福建,3.8,296,295,1,0
福建,3.9,296,295,1,0
福建,3.10,296,295,1,0
福建,3.11,296,295,1,0
福建,3.12,296,295,1,0
福建,3.13,296,295,1,0
福建,3.14,296,295,1,0
福建,3.15,296,295,1,0
福建,3.16,296,295,1,0
福建,3.17,296,295,1,0
福建,3.18,296,295,1,0
福建,3.19,299,295,1,3
福建,3.20,303,295,1,4
福建,3.21,307,295,1,4
福建,3.22,313,295,1,6
福建,3.23,318,295,1,5
福建,3.24,322,295,1,4
福建,3.25,328,295,1,6
福建,3.26,331,295,1,3
福建,3.27,337,295,1,6
福建,3.28,338,295,1,1
福建,3.29,340,295,1,2
福建,3.30,343,295,1,3
福建,3.31,345,297,1,2
福建,4.1,345,299,1,0
福建,4.2,349,300,1,4
福建,4.3,350,301,1,1
福建,4.4,350,303,1,0
福建,4.5,350,305,1,0
福建,4.6,351,305,1,1
福建,4.7,351,307,1,0
福建,4.8,351,308,1,0
福建,4.9,351,311,1,0
福建,4.10,351,317,1,0
福建,4.11,352,321,1,1
福建,4.12,352,325,1,0
福建,4.13,353,329,1,1
福建,4.14,353,331,1,0
福建,4.15,353,333,1,0
福建,4.16,354,334,1,1
福建,4.17,355,336,1,1
福建,4.18,355,339,1,0
福建,4.19,355,339,1,0
福建,4.20,355,341,1,0
福建,4.21,355,342,1,0
福建,4.22,355,342,1,0
福建,4.23,355,346,1,0
福建,4.24,355,349,1,0
福建,4.25,355,349,1,0
福建,4.26,355,349,1,0
福建,4.27,355,349,1,0
福建,4.28,355,352,1,0
福建,4.29,355,353,1,0
福建,4.30,356,353,1,1
福建,5.1,356,353,1,0
福建,5.2,356,353,1,0
福建,5.3,356,353,1,0
福建,5.4,356,353,1,0
福建,5.5,356,353,1,0
福建,5.6,356,354,1,0
福建,5.7,356,354,1,0
福建,5.8,356,354,1,0
福建,5.9,356,354,1,0
福建,5.10,356,354,1,0
福建,5.11,356,354,1,0
福建,5.12,356,354,1,0
福建,5.13,356,354,1,0
福建,5.14,356,355,1,0
福建,5.15,356,355,1,0
福建,5.16,356,355,1,0
福建,5.17,356,355,1,0
福建,5.18,356,355,1,0
福建,5.19,356,355,1,0
福建,5.20,356,355,1,0
福建,5.21,356,355,1,0
福建,5.22,356,355,1,0
福建,5.23,356,355,1,0
福建,5.24,356,355,1,0
福建,5.25,357,355,1,1
福建,5.26,357,355,1,0
福建,5.27,358,355,1,1
福建,5.28,358,355,1,0
福建,5.29,358,355,1,0
福建,5.30,358,355,1,0
福建,5.31,358,356,1,0
福建,6.1,358,356,1,0
福建,6.2,358,356,1,0
