省份,时间,确诊,治愈,死亡,新增确诊
西藏,1.26,0,0,0,0
西藏,1.27,0,0,0,0
西藏,1.28,0,0,0,0
西藏,1.29,1,0,0,1
西藏,1.30,1,0,0,0
西藏,1.31,1,0,0,0
西藏,2.1,1,0,0,0
西藏,2.2,1,0,0,0
西藏,2.3,1,0,0,0
西藏,2.4,1,0,0,0
西藏,2.5,1,0,0,0
西藏,2.6,1,0,0,0
西藏,2.7,1,0,0,0
西藏,2.8,1,0,0,0
西藏,2.9,1,0,0,0
西藏,2.10,1,0,0,0
西藏,2.11,1,0,0,0
西藏,2.12,1,1,0,0
西藏,2.13,1,1,0,0
西藏,2.14,1,1,0,0
西藏,2.15,1,1,0,0
西藏,2.16,1,1,0,0
西藏,2.17,1,1,0,0
西藏,2.18,1,1,0,0
西藏,2.19,1,1,0,0
西藏,2.20,1,1,0,0
西藏,2.21,1,1,0,0
西藏,2.22,1,1,0,0
西藏,2.23,1,1,0,0
西藏,2.24,1,1,0,0
西藏,2.25,1,1,0,0
西藏,2.26,1,1,0,0
西藏,2.27,1,1,0,0
西藏,2.28,1,1,0,0
西藏,2.29,1,1,0,0
西藏,3.1,1,1,0,0
西藏,3.2,1,1,0,0
西藏,3.3,1,1,0,0
西藏,3.4,1,1,0,0
西藏,3.5,1,1,0,0
西藏,3.7,1,1,0,0
西藏,3.8,1,1,0,0
西藏,3.9,1,1,0,0
西藏,3.10,1,1,0,0
西藏,3.11,1,1,0,0
西藏,3.12,1,1,0,0
西藏,3.13,1,1,0,0
西藏,3.14,1,1,0,0
西藏,3.15,1,1,0,0
西藏,3.16,1,1,0,0
西藏,3.17,1,1,0,0
西藏,3.18,1,1,0,0
西藏,3.19,1,1,0,0
西藏,3.20,1,1,0,0
西藏,3.21,1,1,0,0
西藏,3.22,1,1,0,0
西藏,3.23,1,1,0,0
西藏,3.24,1,1,0,0
西藏,3.25,1,1,0,0
西藏,3.26,1,1,0,0
西藏,3.27,1,1,0,0
西藏,3.28,1,1,0,0
西藏,3.29,1,1,0,0
西藏,3.30,1,1,0,0
西藏,3.31,1,1,0,0
西藏,4.1,1,1,0,0
西藏,4.2,1,1,0,0
西藏,4.3,1,1,0,0
西藏,4.4,1,1,0,0
西藏,4.5,1,1,0,0
西藏,4.6,1,1,0,0
西藏,4.7,1,1,0,0
西藏,4.8,1,1,0,0
西藏,4.9,1,1,0,0
西藏,4.10,1,1,0,0
西藏,4.11,1,1,0,0
西藏,4.12,1,1,0,0
西藏,4.13,1,1,0,0
西藏,4.14,1,1,0,0
西藏,4.15,1,1,0,0
西藏,4.16,1,1,0,0
西藏,4.17,1,1,0,0
西藏,4.18,1,1,0,0
西藏,4.19,1,1,0,0
西藏,4.20,1,1,0,0
西藏,4.21,1,1,0,0
西藏,4.22,1,1,0,0
西藏,4.23,1,1,0,0
西藏,4.24,1,1,0,0
西藏,4.25,1,1,0,0
西藏,4.26,1,1,0,0
西藏,4.27,1,1,0,0
西藏,4.28,1,1,0,0
西藏,4.29,1,1,0,0
西藏,4.30,1,1,0,0
西藏,5.1,1,1,0,0
西藏,5.2,1,1,0,0
西藏,5.3,1,1,0,0
西藏,5.4,1,1,0,0
西藏,5.5,1,1,0,0
西藏,5.7,1,1,0,0
西藏,5.8,1,1,0,0
西藏,5.9,1,1,0,0
西藏,5.10,1,1,0,0
西藏,5.11,1,1,0,0
西藏,5.12,1,1,0,0
西藏,5.13,1,1,0,0
西藏,5.14,1,1,0,0
西藏,5.15,1,1,0,0
西藏,5.16,1,1,0,0
西藏,5.17,1,1,0,0
西藏,5.18,1,1,0,0
西藏,5.19,1,1,0,0
西藏,5.20,1,1,0,0
西藏,5.21,1,1,0,0
西藏,5.22,1,1,0,0
西藏,5.23,1,1,0,0
西藏,5.24,1,1,0,0
西藏,5.25,1,1,0,0
西藏,5.26,1,1,0,0
西藏,5.27,1,1,0,0
西藏,5.28,1,1,0,0
西藏,5.29,1,1,0,0
西藏,5.30,1,1,0,0
西藏,5.31,1,1,0,0
西藏,6.1,1,1,0,0
