省份,时间,确诊,治愈,死亡,新增确诊
辽宁,1.26,22,0,0,5
辽宁,1.27,27,0,0,5
辽宁,1.28,36,0,0,9
辽宁,1.29,39,0,0,5
辽宁,1.30,45,1,0,6
辽宁,1.31,60,1,0,15
辽宁,2.1,64,1,0,4
辽宁,2.2,70,1,0,6
辽宁,2.3,74,1,0,4
辽宁,2.4,81,2,0,7
辽宁,2.5,89,4,0,5
辽宁,2.6,94,5,0,5
辽宁,2.7,99,7,0,4
辽宁,2.8,105,8,0,2
辽宁,2.9,107,12,0,2
辽宁,2.10,108,12,0,1
辽宁,2.11,116,19,0,5
辽宁,2.12,116,21,1,0
辽宁,2.13,117,24,1,1
辽宁,2.14,119,29,1,2
辽宁,2.15,120,32,1,1
辽宁,2.16,121,41,1,1
辽宁,2.17,121,43,1,0
辽宁,2.18,121,55,1,0
辽宁,2.19,121,58,1,0
辽宁,2.20,121,61,1,0
辽宁,2.21,121,66,1,0
辽宁,2.22,121,68,1,0
辽宁,2.23,121,73,1,0
辽宁,2.24,121,83,1,0
辽宁,2.25,121,88,1,0
辽宁,2.26,121,92,1,0
辽宁,2.27,121,93,1,0
辽宁,2.28,121,95,1,0
辽宁,2.29,122,101,1,1
辽宁,3.1,122,103,1,0
辽宁,3.2,125,103,1,3
辽宁,3.3,125,106,1,0
辽宁,3.4,125,106,1,0
辽宁,3.5,125,106,1,0
辽宁,3.6,125,106,1,0
辽宁,3.7,125,108,1,0
辽宁,3.8,125,109,1,0
辽宁,3.9,125,110,1,0
辽宁,3.10,125,111,1,0
辽宁,3.11,125,111,1,0
辽宁,3.12,125,112,1,0
辽宁,3.13,125,113,1,0
辽宁,3.14,125,113,1,0
辽宁,3.15,125,114,1,0
辽宁,3.16,125,119,1,0
辽宁,3.17,125,122,1,0
辽宁,3.18,125,122,1,0
辽宁,3.19,126,122,2,1
辽宁,3.20,126,122,2,0
辽宁,3.21,126,122,2,0
辽宁,3.22,127,124,2,1
辽宁,3.23,127,124,2,0
辽宁,3.24,127,124,2,0
辽宁,3.25,127,124,2,0
辽宁,3.26,128,124,2,1
辽宁,3.27,131,124,2,3
辽宁,3.28,134,124,2,3
辽宁,3.29,136,124,2,2
辽宁,3.30,139,124,2,3
辽宁,3.31,140,124,2,1
辽宁,4.1,140,124,2,0
辽宁,4.2,141,124,2,1
辽宁,4.3,141,125,2,0
辽宁,4.4,142,126,2,1
辽宁,4.5,142,128,2,0
辽宁,4.6,144,130,2,2
辽宁,4.7,144,131,2,0
辽宁,4.8,144,131,2,0
辽宁,4.9,144,132,2,0
辽宁,4.10,145,133,2,1
辽宁,4.11,145,136,2,0
辽宁,4.12,145,136,2,0
辽宁,4.13,145,138,2,0
辽宁,4.14,145,138,2,0
辽宁,4.15,145,138,2,0
辽宁,4.16,146,140,2,1
辽宁,4.17,146,142,2,0
辽宁,4.18,146,142,2,0
辽宁,4.19,146,143,2,0
辽宁,4.20,146,143,2,0
辽宁,4.21,146,143,2,0
辽宁,4.22,146,143,2,0
辽宁,4.23,146,143,2,0
辽宁,4.24,146,143,2,0
辽宁,4.25,146,143,2,0
辽宁,4.26,146,143,2,0
辽宁,4.27,146,143,2,0
辽宁,4.28,146,143,2,0
辽宁,4.29,146,143,2,0
辽宁,4.30,146,143,2,0
辽宁,5.1,146,144,2,0
辽宁,5.2,146,144,2,0
辽宁,5.3,146,144,2,0
辽宁,5.4,146,144,2,0
辽宁,5.5,146,144,2,0
辽宁,5.6,146,144,2,0
辽宁,5.7,146,144,2,0
辽宁,5.8,146,144,2,0
辽宁,5.9,146,144,2,0
辽宁,5.10,147,144,2,1
辽宁,5.11,147,144,2,0
辽宁,5.12,147,144,2,0
辽宁,5.13,149,144,2,2
辽宁,5.14,149,144,2,0
辽宁,5.15,149,144,2,0
辽宁,5.16,149,144,2,0
辽宁,5.17,149,144,2,0
辽宁,5.18,149,144,2,0
辽宁,5.19,149,144,2,0
辽宁,5.20,149,144,2,0
辽宁,5.21,149,144,2,0
辽宁,5.22,149,144,2,0
辽宁,5.23,149,144,2,0
辽宁,5.24,149,145,2,0
辽宁,5.25,149,147,2,0
辽宁,5.26,149,147,2,0
辽宁,5.27,149,147,2,0
辽宁,5.28,149,147,2,0
辽宁,5.29,149,147,2,0
辽宁,5.30,149,147,2,0
辽宁,5.31,149,147,2,0
辽宁,6.1,149,147,2,0
辽宁,6.2,149,147,2,0
