省份,时间,确诊,治愈,死亡,新增确诊
青海,1.26,4,0,0,3
青海,1.27,6,0,0,2
青海,1.28,6,0,0,0
青海,1.29,6,0,0,0
青海,1.30,8,0,0,2
青海,1.31,9,0,0,1
青海,2.1,9,0,0,0
青海,2.2,13,0,0,4
青海,2.3,15,0,0,2
青海,2.4,17,0,0,2
青海,2.5,18,3,0,1
青海,2.6,18,3,0,0
青海,2.7,18,3,0,0
青海,2.8,18,3,0,0
青海,2.9,18,3,0,0
青海,2.10,18,3,0,0
青海,2.11,18,5,0,0
青海,2.12,18,9,0,0
青海,2.13,18,11,0,0
青海,2.14,18,11,0,0
青海,2.15,18,13,0,0
青海,2.16,18,13,0,0
青海,2.17,18,13,0,0
青海,2.18,18,15,0,0
青海,2.19,18,16,0,0
青海,2.20,18,16,0,0
青海,2.21,18,18,0,0
青海,2.22,18,18,0,0
青海,2.23,18,18,0,0
青海,2.24,18,18,0,0
青海,2.25,18,18,0,0
青海,2.26,18,18,0,0
青海,2.27,18,18,0,0
青海,2.28,18,18,0,0
青海,2.29,18,18,0,0
青海,3.1,18,18,0,0
青海,3.2,18,18,0,0
青海,3.3,18,18,0,0
青海,3.4,18,18,0,0
青海,3.5,18,18,0,0
青海,3.6,18,18,0,0
青海,3.7,18,18,0,0
青海,3.8,18,18,0,0
青海,3.9,18,18,0,0
青海,3.10,18,18,0,0
青海,3.11,18,18,0,0
青海,3.12,18,18,0,0
青海,3.13,18,18,0,0
青海,3.14,18,18,0,0
青海,3.15,18,18,0,0
青海,3.16,18,18,0,0
青海,3.17,18,18,0,0
青海,3.18,18,18,0,0
青海,3.19,18,18,0,0
青海,3.20,18,18,0,0
青海,3.21,18,18,0,0
青海,3.22,18,18,0,0
青海,3.23,18,18,0,0
青海,3.24,18,18,0,0
青海,3.25,18,18,0,0
青海,3.26,18,18,0,0
青海,3.27,18,18,0,0
青海,3.28,18,18,0,0
青海,3.29,18,18,0,0
青海,3.30,18,18,0,0
青海,3.31,18,18,0,0
青海,4.1,18,18,0,0
青海,4.2,18,18,0,0
青海,4.3,18,18,0,0
青海,4.4,18,18,0,0
青海,4.5,18,18,0,0
青海,4.6,18,18,0,0
青海,4.7,18,18,0,0
青海,4.8,18,18,0,0
青海,4.9,18,18,0,0
青海,4.10,18,18,0,0
青海,4.11,18,18,0,0
青海,4.12,18,18,0,0
青海,4.13,18,18,0,0
青海,4.14,18,18,0,0
青海,4.15,18,18,0,0
青海,4.16,18,18,0,0
青海,4.17,18,18,0,0
青海,4.18,18,18,0,0
青海,4.19,18,18,0,0
青海,4.20,18,18,0,0
青海,4.21,18,18,0,0
青海,4.22,18,18,0,0
青海,4.23,18,18,0,0
青海,4.24,18,18,0,0
青海,4.25,18,18,0,0
青海,4.26,18,18,0,0
青海,4.27,18,18,0,0
青海,4.28,18,18,0,0
青海,4.29,18,18,0,0
青海,4.30,18,18,0,0
青海,5.1,18,18,0,0
青海,5.2,18,18,0,0
青海,5.3,18,18,0,0
青海,5.4,18,18,0,0
青海,5.5,18,18,0,0
青海,5.6,18,18,0,0
青海,5.7,18,18,0,0
青海,5.8,18,18,0,0
青海,5.9,18,18,0,0
青海,5.10,18,18,0,0
青海,5.11,18,18,0,0
青海,5.12,18,18,0,0
青海,5.13,18,18,0,0
青海,5.14,18,18,0,0
青海,5.15,18,18,0,0
青海,5.16,18,18,0,0
青海,5.17,18,18,0,0
青海,5.18,18,18,0,0
青海,5.19,18,18,0,0
青海,5.20,18,18,0,0
青海,5.21,18,18,0,0
青海,5.22,18,18,0,0
青海,5.23,18,18,0,0
青海,5.24,18,18,0,0
青海,5.25,18,18,0,0
青海,5.26,18,18,0,0
青海,5.27,18,18,0,0
青海,5.28,18,18,0,0
青海,5.29,18,18,0,0
青海,5.30,18,18,0,0
青海,5.31,18,18,0,0
青海,6.1,18,18,0,0
